source,date,time,stock,symbol,engine,sentence,direction,template,entry,stop,target,exit,exit_reason,result_R,result_rupees,status
EOD PAPER,,,197633,DABUR,E1,"DABUR, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,,,,,,,,queued
EOD PAPER,,,356865,HINDUNILVR,E1,"HINDUNILVR, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,,,,,,,,queued
EOD PAPER,,,4574465,JSWENERGY,E1,"JSWENERGY, daily: when RSI is between 40 and 60 and volatility (ATR) is in its low 20–40% at the same time → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,,,,,,,,queued
EOD PAPER,,,548865,BDL,E1,"BDL, daily: when RSI is between 30 and 50 and money-flow (MFI) is between 20 and 40 at the same time → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,,,,,,,,queued
EOD PAPER,,,794369,SHREECEM,E1,"SHREECEM, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,,,,,,,,queued
LIVE PAPER,2026-09-11,09:45,3725313,PHOENIXLTD,E1,"PHOENIXLTD, 30-minute: when its moving average is in its high 60–80% and volume flow (OBV) is in its high 60–80% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,1834.3,1819.23,1856.9,1856.9,target,1.2565,1256.49,closed
LIVE PAPER,2026-09-11,10:15,325121,AMBUJACEM,E1,"AMBUJACEM, 60-minute: when return volatility is in its middle 20% and VWAP is in its lowest 20% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,389.0,386.34,392.99,392.99,target,1.2075,1207.54,closed
LIVE PAPER,2026-09-11,10:30,4576001,GODREJPROP,E1,"GODREJPROP, 15-minute: when its moving average is in its low 20–40% and historical volatility is in its highest 20% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,1742.1,1727.51,1763.98,1727.51,stop,-1.2389,-1238.87,closed
LIVE PAPER,2026-09-11,10:45,359937,HINDPETRO,E1,"HINDPETRO, 15-minute: when its EMA trend is in its lowest 20% and volume flow (OBV) is in its high 60–80% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,345.7,343.85,348.48,348.48,target,1.1272,1127.17,closed
LIVE PAPER,2026-09-11,11:45,1346049,INDUSINDBK,E1,"INDUSINDBK, 30-minute: when volatility (ATR) is in its low 20–40% and volume flow (OBV) is in its high 60–80% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,977.4,972.53,984.71,972.53,stop,-1.401,-1401.05,closed
LIVE PAPER,2026-09-11,12:15,1152769,MPHASIS,E1,"MPHASIS, 60-minute: when volatility (ATR) is in its lowest 20% and VWAP is in its low 20–40% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,2291.1,2270.57,2321.9,2295.0,session-close,-0.0332,-33.22,closed
LIVE PAPER,2026-09-11,13:30,4576001,GODREJPROP,E1,"GODREJPROP, 15-minute: when its moving average is in its low 20–40% and historical volatility is in its highest 20% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,1728.0,1716.77,1744.85,1744.85,target,1.1923,1192.29,closed
LIVE PAPER,2026-09-11,14:30,359937,HINDPETRO,E1,"HINDPETRO, 15-minute: when its EMA trend is in its lowest 20% and volume flow (OBV) is in its high 60–80% at the same time → it tends to go UP over the next 20 bars.",direct,stop1_tgt1.5,352.7,351.12,355.07,353.75,session-close,0.2185,218.52,closed
BACKTEST,2026-03-16,,794369,SHREECEM,E1,"SHREECEM, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,22970.0,22307.34,23963.99,23963.99,target,1.4307,1430.67,closed
BACKTEST,2026-03-24,,794369,SHREECEM,E1,"SHREECEM, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,23085.0,22442.39,24048.92,24048.92,target,1.4282,1428.15,closed
BACKTEST,2026-04-06,,794369,SHREECEM,E1,"SHREECEM, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,23460.0,22797.15,24454.27,24454.27,target,1.4292,1429.21,closed
BACKTEST,2026-09-10,,794369,SHREECEM,E1,"SHREECEM, daily: when VWAP is in its lowest 20% → it tends to go UP over the next 20 days.",direct,stop1_tgt1.5,22910.0,22395.33,23682.01,22395.33,stop,-1.089,-1089.03,closed
BACKTEST,2026-01-12,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,290.9,301.44,275.1,301.44,stop,-1.0552,-1055.22,closed
BACKTEST,2026-01-16,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,306.85,317.37,291.06,317.37,stop,-1.0583,-1058.31,closed
BACKTEST,2026-01-21,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,303.5,314.11,287.59,287.59,target,1.4428,1442.78,closed
BACKTEST,2026-02-02,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,267.4,279.07,249.89,279.07,stop,-1.0458,-1045.81,closed
BACKTEST,2026-02-05,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,290.95,303.01,272.86,303.01,stop,-1.0482,-1048.24,closed
BACKTEST,2026-02-11,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,308.0,320.03,289.96,289.96,target,1.4488,1448.78,closed
BACKTEST,2026-03-02,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,280.0,290.46,264.31,264.31,target,1.4465,1446.45,closed
BACKTEST,2026-03-09,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,255.0,265.52,239.21,265.52,stop,-1.0485,-1048.46,closed
BACKTEST,2026-03-13,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,254.0,264.5,238.25,264.5,stop,-1.0484,-1048.38,closed
BACKTEST,2026-03-20,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,265.35,275.92,249.5,249.5,target,1.4498,1449.79,closed
BACKTEST,2026-03-25,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,258.0,268.62,242.07,268.62,stop,-1.0486,-1048.58,closed
BACKTEST,2026-04-10,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,264.95,275.1,249.73,275.1,stop,-1.0522,-1052.23,closed
BACKTEST,2026-04-23,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,293.95,304.04,278.81,304.04,stop,-1.0583,-1058.26,closed
BACKTEST,2026-05-06,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,309.4,318.92,295.12,295.12,target,1.435,1435.02,closed
BACKTEST,2026-05-14,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,313.1,323.52,297.47,297.47,target,1.4399,1439.89,closed
BACKTEST,2026-05-20,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,313.0,323.74,296.89,323.74,stop,-1.0583,-1058.28,closed
BACKTEST,2026-05-25,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,327.0,337.27,311.59,311.59,target,1.4363,1436.35,closed
BACKTEST,2026-06-04,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,312.8,322.85,297.72,297.72,target,1.4378,1437.77,closed
BACKTEST,2026-06-10,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,304.95,314.84,290.11,290.11,target,1.4383,1438.34,closed
BACKTEST,2026-06-15,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,310.35,321.25,294.0,321.25,stop,-1.0569,-1056.94,closed
BACKTEST,2026-06-19,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,311.75,321.56,297.03,321.56,stop,-1.0636,-1063.56,closed
BACKTEST,2026-06-24,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,316.5,326.94,300.84,326.94,stop,-1.0606,-1060.63,closed
BACKTEST,2026-07-02,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,316.7,326.92,301.36,326.92,stop,-1.0619,-1061.95,closed
BACKTEST,2026-07-07,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,344.65,356.07,327.52,327.52,target,1.4396,1439.64,closed
BACKTEST,2026-07-16,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,328.6,339.36,312.46,339.36,stop,-1.0611,-1061.09,closed
BACKTEST,2026-07-22,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,351.75,362.79,335.19,362.79,stop,-1.0637,-1063.72,closed
BACKTEST,2026-07-30,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,371.0,381.34,355.49,355.49,target,1.4282,1428.23,closed
BACKTEST,2026-08-06,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,368.7,379.99,351.76,351.76,target,1.4347,1434.69,closed
BACKTEST,2026-08-14,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,348.0,359.72,330.43,359.72,stop,-1.0594,-1059.41,closed
BACKTEST,2026-08-26,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,368.0,378.57,352.14,352.14,target,1.4304,1430.39,closed
BACKTEST,2026-08-31,,4879617,MANAPPURAM,E1,"MANAPPURAM, daily: when VWAP is in its highest 20% → it tends to go DOWN over the next 20 days.",inverse,stop1_tgt1.5,341.45,352.26,325.24,325.24,target,1.4368,1436.8,closed
