equation,underlying,strike,expiry,entry_ist,exit_ist,lots,lot_size,notional_rupees,entry_ce,entry_pe,future,exit_ce,exit_pe,entry_gap_frac,gap_rupees,cs_spread_frac,statutory_cost_rupees,floor_cost_rupees,upper_cost_rupees,gross_rupees,net_floor_rupees,net_upper_rupees,result_R_floor,exit_reason,regime
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:16 IST,2026-06-29 09:16 IST,1,75,1808625.0,874.05,421.55,24115.0,874.05,421.55,0.01407,25452.66,0.0,771.66,782.91,771.66,0.0,-782.91,-771.66,-0.783,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:19 IST,2026-06-29 09:19 IST,1,75,1807823.0,870.0,420.0,24104.3,870.0,420.0,0.01441,26054.56,0.00034,771.32,782.57,1424.7,0.0,-782.57,-1424.7,-0.783,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:22 IST,2026-06-29 09:22 IST,1,75,1808925.0,874.85,415.85,24119.0,874.85,415.85,0.01418,25645.03,0.0,772.78,784.03,772.78,0.0,-784.03,-772.78,-0.784,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:25 IST,2026-06-29 09:25 IST,1,75,1806368.0,864.0,429.6,24084.9,864.0,429.6,0.01457,26315.94,0.00482,771.34,782.59,9946.6,0.0,-782.59,-9946.6,-0.783,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 09:27 IST,2026-06-29 09:27 IST,1,75,1805857.0,195.0,1232.0,24078.1,195.0,1232.0,0.01503,27134.58,0.0,778.76,790.01,778.76,0.0,-790.01,-778.76,-0.79,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:28 IST,2026-06-29 09:28 IST,1,75,1806645.0,860.0,425.65,24088.6,860.0,425.65,0.01441,26039.26,2e-05,770.57,781.82,802.49,0.0,-781.82,-802.49,-0.782,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 09:33 IST,2026-06-29 09:33 IST,1,75,1804050.0,194.55,1242.1,24054.0,194.55,1242.1,0.01559,28121.43,0.0,780.45,791.7,780.45,0.0,-791.7,-780.45,-0.792,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:35 IST,2026-06-29 09:35 IST,1,75,1802325.0,831.85,452.75,24031.0,831.85,452.75,0.01451,26145.28,0.00038,771.28,782.53,1503.2,0.0,-782.53,-1503.2,-0.783,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:38 IST,2026-06-29 09:38 IST,1,75,1804500.0,846.15,443.0,24060.0,846.15,443.0,0.0143,25809.38,0.00471,769.58,780.83,9709.6,0.0,-780.83,-9709.6,-0.781,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 09:38 IST,2026-06-29 09:38 IST,1,75,1804500.0,193.25,1255.0,24060.0,193.25,1255.0,0.01475,26613.74,0.0,782.43,793.68,782.43,0.0,-793.68,-782.43,-0.794,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:41 IST,2026-06-29 09:41 IST,1,75,1806323.0,854.35,432.25,24084.3,854.35,432.25,0.01408,25437.68,0.0,770.23,781.48,770.23,0.0,-781.48,-770.23,-0.781,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:43 IST,2026-06-29 09:43 IST,1,75,1806975.0,863.1,427.5,24093.0,863.1,427.5,0.01428,25808.34,0.00596,770.48,781.73,12105.36,0.0,-781.73,-12105.36,-0.782,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 09:45 IST,2026-06-29 10:04 IST,1,75,1807350.0,862.25,428.95,24098.0,847.05,438.0,0.01398,25266.94,0.0025,771.45,782.7,5529.16,-426.67,-1209.37,-5955.83,-1.209,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 09:46 IST,2026-06-29 09:46 IST,1,75,1807118.0,193.1,1220.2,24094.9,193.1,1220.2,0.01474,26637.5,0.0,777.44,788.69,777.44,0.0,-788.69,-777.44,-0.789,gap widened (past the session band),bullish/normal
parity,BANKNIFTY,57000.0,2026-09-29,2026-06-29 10:01 IST,2026-06-29 10:01 IST,1,15,870972.0,3020.1,911.25,58064.8,3020.1,911.25,0.01828,15920.29,0.0,428.28,430.53,428.28,0.0,-430.53,-428.28,-0.431,gap widened (past the session band),bullish/normal
parity,BANKNIFTY,57000.0,2026-09-29,2026-06-29 10:03 IST,2026-06-29 10:03 IST,1,15,870645.0,3002.4,922.7,58043.0,3002.4,922.7,0.01815,15804.73,0.00595,427.73,429.98,5964.19,0.0,-429.98,-5964.19,-0.43,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 10:07 IST,2026-06-29 10:08 IST,1,75,1807425.0,860.0,428.0,24099.0,864.95,425.0,0.01388,25095.66,0.01108,768.3,779.55,21832.12,-963.11,-1742.66,-22795.23,-1.743,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 10:22 IST,2026-06-29 10:22 IST,1,75,1806870.0,195.0,1226.1,24091.6,195.0,1226.1,0.01471,26581.03,0.0045,779.04,790.29,9395.52,0.0,-790.29,-9395.52,-0.79,gap widened (past the session band),bullish/normal
parity,NIFTY,24000.0,2026-09-29,2026-06-29 10:23 IST,2026-06-29 10:28 IST,1,75,1807875.0,867.1,426.0,24105.0,883.0,412.15,0.01401,25335.47,0.00022,770.73,781.98,1182.41,-180.61,-962.59,-1363.02,-0.963,gap widened (past the session band),bullish/normal
parity,NIFTY,25500.0,2026-09-29,2026-06-29 10:34 IST,2026-06-29 10:34 IST,1,75,1809465.0,203.15,1190.0,24126.2,203.15,1190.0,0.01511,27346.98,0.00039,776.28,787.53,1523.17,0.0,-787.53,-1523.17,-0.788,gap widened (past the session band),bullish/normal
