engine,instrument,ts,side,mid_R,cross_R,status
1,2674433,2026-03-27,,-1.01625,-1.01625,kept
1,2674433,2026-04-02,,1.14825,1.14825,kept
1,2674433,2026-05-07,,0.1027,0.1027,kept
1,2674433,2026-05-20,,0.6899,0.6899,kept
1,2674433,2026-06-22,,0.70095,0.70095,kept
1,1510401,2026-08-12,,0.0457499999999999,0.0457499999999999,kept
1,1510401,2026-08-26,,0.1456,0.1456,kept
1,1510401,2026-09-01,,-0.48105,-0.48105,kept
1,2674433,2026-03-30,,1.1411000000000002,1.1411000000000002,kept
1,2674433,2026-04-30,,-1.019,-1.019,kept
1,2674433,2026-05-08,,0.5038,0.5038,kept
1,2674433,2026-05-22,,0.0021499999999999,0.0021499999999999,kept
1,2674433,2026-06-02,,1.00045,1.00045,kept
1,2674433,2026-06-23,,0.5290499999999999,0.5290499999999999,kept
1,2674433,2026-07-01,,0.781,0.781,kept
1,3663105,2026-08-05,,0.55335,0.55335,kept
1,3663105,2026-08-14,,-1.01635,-1.01635,kept
1,1215745,2026-05-11,,-1.01795,-1.01795,kept
1,1215745,2026-05-22,,-1.0163,-1.0163,kept
1,1215745,2026-05-29,,-1.0142,-1.0142,kept
1,1215745,2026-07-22,,0.8134499999999999,0.8134499999999999,kept
1,1215745,2026-08-06,,0.4782,0.4782,kept
1,5013761,2026-01-12,,-1.0141,-1.0141,kept
1,5013761,2026-01-20,,0.4213,0.4213,kept
1,5013761,2026-01-27,,0.8819,0.8819,kept
1,5013761,2026-03-18,,0.6592500000000001,0.6592500000000001,kept
1,5013761,2026-05-05,,-1.01505,-1.01505,kept
1,5013761,2026-05-11,,-1.0146,-1.0146,kept
1,5013761,2026-05-29,,0.6983499999999999,0.6983499999999999,kept
1,5013761,2026-06-29,,0.4703499999999999,0.4703499999999999,kept
1,5013761,2026-07-10,,0.51845,0.51845,kept
1,5013761,2026-07-23,,0.3932,0.3932,kept
1,5013761,2026-08-04,,0.4087499999999999,0.4087499999999999,kept
1,5013761,2026-08-12,,0.7709,0.7709,kept
1,5013761,2026-08-31,,0.6440499999999999,0.6440499999999999,kept
1,5533185,2026-02-02,,0.4656,0.4656,kept
1,5533185,2026-05-11,,-0.16055,-0.16055,kept
1,5533185,2026-08-07,,-0.2886,-0.2886,kept
1,5533185,2026-02-02,,0.45625,0.45625,kept
1,5533185,2026-05-11,,-0.1573,-0.1573,kept
1,5533185,2026-08-07,,-0.2828,-0.2828,kept
1,1510401,2026-08-12,,0.0484999999999999,0.0484999999999999,kept
1,1510401,2026-08-26,,0.15455,0.15455,kept
1,1510401,2026-09-01,,-0.51055,-0.51055,kept
1,5552641,2026-01-12,,0.7173,0.7173,kept
1,5552641,2026-01-22,,0.41835,0.41835,kept
