date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-22,2127617,direct,,,-0.0233,-0.0233,-23.3,44.6,R
2026-03-04,1102337,direct,,,-1.0345,-1.0345,-1034.5,34.5,R
2026-03-10,1102337,direct,,,0.5543,0.5543,554.3,27.2,R
2026-03-13,1102337,direct,,,-1.025,-1.025,-1025.0,25.0,R
2026-03-23,1102337,direct,,,0.7465,0.7465,746.5,22.7,R
2026-03-24,175361,direct,,,0.1753,0.1753,175.3,20.0,R
2026-03-24,2127617,direct,,,0.6531,0.6531,653.1,29.7,R
2026-03-30,2127617,direct,,,-1.029,-1.029,-1029.0,29.0,R
2026-04-02,2127617,direct,,,1.7441,1.7441,1744.1,25.0,R
2026-04-02,2455041,direct,,,1.4003,1.4003,1400.3,36.5,R
2026-04-10,1102337,direct,,,-0.0215,-0.0215,-21.5,21.7,R
2026-04-24,1102337,direct,,,-1.0263,-1.0263,-1026.3,26.3,R
2026-04-27,5582849,direct,,,1.005,1.005,1005.0,48.6,R
2026-05-04,1102337,direct,,,0.6385,0.6385,638.5,24.8,R
2026-05-12,2127617,direct,,,-1.0317,-1.0317,-1031.7,31.7,R
2026-05-13,175361,direct,,,0.0193,0.0193,19.3,22.4,R
2026-06-02,2127617,direct,,,0.8111,0.8111,811.1,35.0,R
2026-06-03,5582849,direct,,,-1.0682,-1.0682,-1068.2,68.1,R
2026-06-08,2127617,direct,,,0.9418,0.9418,941.8,34.7,R
2026-06-11,5582849,direct,,,1.0267,1.0267,1026.7,67.4,R
2026-06-15,1102337,direct,,,0.7715,0.7715,771.5,33.2,R
2026-06-22,2127617,direct,,,-1.0426,-1.0426,-1042.6,42.6,R
2026-06-24,5582849,direct,,,0.7347,0.7347,734.7,71.6,R
2026-06-30,175361,direct,,,0.4434,0.4434,443.4,28.7,R
2026-07-03,2127617,direct,,,1.1795,1.1795,1179.5,46.4,R
2026-07-09,5582849,direct,,,0.9862,0.9862,986.2,67.7,R
2026-07-09,1102337,direct,,,0.0302,0.0302,30.2,35.2,R
2026-07-23,2127617,direct,,,0.2629,0.2629,262.9,44.7,R
2026-08-07,2127617,direct,,,-1.0367,-1.0367,-1036.7,36.7,R
2026-08-13,2127617,direct,,,0.1778,0.1778,177.8,35.4,R
2026-08-17,5582849,direct,,,-1.0744,-1.0744,-1074.4,74.4,R
2026-09-02,5582849,direct,,,0.1697,0.1697,169.7,80.8,R
2026-09-08,5582849,direct,,,-1.0739,-1.0739,-1073.9,74.0,R
2026-09-10,5582849,direct,,,0.1874,0.1874,187.4,72.3,R
2026-09-11,2127617,direct,,,0.8677,0.8677,867.7,45.7,R
