date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-09-11,PHOENIXLTD,direct,1834.3,1856.9,1.2565,1.2565,1256.5,,R
2026-09-11,AMBUJACEM,direct,389.0,392.99,1.2075,1.2075,1207.5,,R
2026-09-11,GODREJPROP,direct,1742.1,1727.51,-1.2389,-1.2389,-1238.9,,R
2026-09-11,HINDPETRO,direct,345.7,348.48,1.1272,1.1272,1127.2,,R
2026-09-11,INDUSINDBK,direct,977.4,972.53,-1.401,-1.401,-1401.0,,R
2026-09-11,MPHASIS,direct,2291.1,2295.0,-0.0332,-0.0332,-33.2,,R
2026-09-11,GODREJPROP,direct,1728.0,1744.85,1.1923,1.1923,1192.3,,R
2026-09-11,HINDPETRO,direct,352.7,353.75,0.2185,0.2185,218.5,,R
2026-03-27,UNITDSPR,direct,1314.5,1275.25,-1.067,-1.067,-1067.0,,R
2026-04-02,UNITDSPR,direct,1238.1,1299.66,1.4397,1.4397,1439.7,,R
2026-04-21,UNITDSPR,direct,1315.0,1369.31,1.4274,1.4274,1427.4,,R
2026-04-24,UNITDSPR,direct,1383.0,1345.97,-1.0747,-1.0747,-1074.7,,R
2026-05-07,UNITDSPR,direct,1296.7,1260.31,-1.0713,-1.0713,-1071.3,,R
2026-05-14,UNITDSPR,direct,1266.9,1315.71,1.4221,1.4221,1422.1,,R
2026-05-19,UNITDSPR,direct,1309.1,1273.27,-1.0731,-1.0731,-1073.1,,R
2026-05-25,UNITDSPR,direct,1290.0,1256.73,-1.0776,-1.0776,-1077.6,,R
2026-06-03,UNITDSPR,direct,1280.0,1247.4,-1.0785,-1.0785,-1078.5,,R
2026-06-09,UNITDSPR,direct,1239.9,1284.11,1.4159,1.4159,1415.9,,R
2026-06-17,UNITDSPR,direct,1304.0,1345.89,1.4066,1.4066,1406.6,,R
2026-06-22,UNITDSPR,direct,1320.5,1366.16,1.4132,1.4132,1413.2,,R
2026-08-12,AXISBANK,direct,1230.0,1263.61,1.3902,1.3902,1390.2,,R
2026-08-31,AXISBANK,direct,1257.0,1237.49,-1.1288,-1.1288,-1128.8,,R
2026-09-11,AXISBANK,direct,1237.9,1251.1,0.5499,0.5499,549.9,,R
2026-06-30,UNITDSPR,direct,1348.3,1396.82,1.4166,1.4166,1416.6,,R
2026-08-05,INDIANB,direct,851.9,882.66,1.4169,1.4169,1416.9,,R
2026-08-12,INDIANB,direct,875.6,854.72,-1.0839,-1.0839,-1083.9,,R
2026-05-11,CONCOR,direct,535.75,523.47,-1.0872,-1.0872,-1087.2,,R
2026-05-14,CONCOR,direct,522.35,509.78,-1.0831,-1.0831,-1083.1,,R
2026-05-22,CONCOR,direct,507.45,494.79,-1.0802,-1.0802,-1080.2,,R
2026-05-29,CONCOR,direct,472.95,459.22,-1.0689,-1.0689,-1068.9,,R
2026-07-22,CONCOR,direct,489.0,476.99,-1.0814,-1.0814,-1081.4,,R
2026-07-28,CONCOR,direct,514.5,500.26,-1.0723,-1.0723,-1072.3,,R
2026-08-12,CONCOR,direct,515.0,533.47,1.4163,1.4163,1416.3,,R
2026-01-12,BSE,inverse,2700.0,2777.47,-1.0697,-1.0697,-1069.7,,R
2026-01-16,BSE,inverse,2851.0,2731.41,1.4285,1.4285,1428.5,,R
2026-01-21,BSE,inverse,2638.7,2721.42,-1.0638,-1.0638,-1063.8,,R
2026-01-27,BSE,inverse,2699.4,2781.56,-1.0657,-1.0657,-1065.7,,R
2026-01-30,BSE,inverse,2859.0,2735.25,1.4307,1.4307,1430.7,,R
2026-03-18,BSE,inverse,2982.3,2825.26,1.443,1.443,1443.0,,R
2026-05-05,BSE,inverse,3712.0,3812.44,-1.0739,-1.0739,-1073.9,,R
2026-05-08,BSE,inverse,3963.6,4067.57,-1.0762,-1.0762,-1076.2,,R
2026-05-19,BSE,inverse,4155.4,4272.03,-1.0713,-1.0713,-1071.3,,R
2026-05-25,BSE,inverse,4250.0,4367.12,-1.0726,-1.0726,-1072.6,,R
2026-05-29,BSE,inverse,4250.0,4063.77,1.4315,1.4315,1431.5,,R
2026-06-29,BSE,inverse,3878.0,3680.69,1.441,1.441,1441.0,,R
2026-07-09,BSE,inverse,3762.0,3571.07,1.4409,1.4409,1440.9,,R
2026-07-22,BSE,inverse,3664.0,3498.26,1.4337,1.4337,1433.7,,R
2026-07-29,BSE,inverse,3475.0,3576.75,-1.0683,-1.0683,-1068.3,,R
2026-08-04,BSE,inverse,3575.0,3424.39,1.4288,1.4288,1428.8,,R
2026-08-11,BSE,inverse,3620.0,3453.48,1.4348,1.4348,1434.8,,R
2026-08-18,BSE,inverse,3298.7,3405.44,-1.0618,-1.0618,-1061.8,,R
2026-08-31,BSE,inverse,3405.0,3255.68,1.4316,1.4316,1431.6,,R
2026-02-02,ABCAPITAL,direct,327.5,343.45,1.4384,1.4384,1438.4,,R
2026-05-11,ABCAPITAL,direct,358.0,346.14,-1.0604,-1.0604,-1060.4,,R
