date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-03-27,2674433,,,,-1.0163,-1.0163,-1016.25,16.25,R
2026-04-02,2674433,,,,1.1482,1.1482,1148.25,14.65,R
2026-05-07,2674433,,,,0.1027,0.1027,102.7,17.3,R
2026-05-20,2674433,,,,0.6899,0.6899,689.9,17.9,R
2026-06-22,2674433,,,,0.7009,0.7009,700.95,21.05,R
2026-08-12,1510401,,,,0.0457,0.0457,45.75,20.35,R
2026-08-26,1510401,,,,0.1456,0.1456,145.6,23.4,R
2026-09-01,1510401,,,,-0.481,-0.481,-481.05,24.45,R
2026-03-30,2674433,,,,1.1411,1.1411,1141.1,15.0,R
2026-04-30,2674433,,,,-1.019,-1.019,-1019.0,19.0,R
2026-05-08,2674433,,,,0.5038,0.5038,503.8,17.9,R
2026-05-22,2674433,,,,0.0021,0.0021,2.15,18.75,R
2026-06-02,2674433,,,,1.0005,1.0005,1000.45,19.05,R
2026-06-23,2674433,,,,0.529,0.529,529.05,21.75,R
2026-07-01,2674433,,,,0.781,0.781,781.0,20.6,R
2026-08-05,3663105,,,,0.5534,0.5534,553.35,16.15,R
2026-08-14,3663105,,,,-1.0164,-1.0164,-1016.35,16.35,R
2026-05-11,1215745,,,,-1.0179,-1.0179,-1017.95,17.85,R
2026-05-22,1215745,,,,-1.0163,-1.0163,-1016.3,16.4,R
2026-05-29,1215745,,,,-1.0142,-1.0142,-1014.2,14.1,R
2026-07-22,1215745,,,,0.8134,0.8134,813.45,16.65,R
2026-08-06,1215745,,,,0.4782,0.4782,478.2,16.5,R
2026-01-12,5013761,,,,-1.0141,-1.0141,-1014.1,14.1,R
2026-01-20,5013761,,,,0.4213,0.4213,421.3,13.5,R
2026-01-27,5013761,,,,0.8819,0.8819,881.9,13.3,R
2026-03-18,5013761,,,,0.6593,0.6593,659.25,11.55,R
2026-05-05,5013761,,,,-1.0151,-1.0151,-1015.05,14.95,R
2026-05-11,5013761,,,,-1.0146,-1.0146,-1014.6,14.6,R
2026-05-29,5013761,,,,0.6983,0.6983,698.35,13.85,R
2026-06-29,5013761,,,,0.4703,0.4703,470.35,11.95,R
2026-07-10,5013761,,,,0.5184,0.5184,518.45,12.35,R
2026-07-23,5013761,,,,0.3932,0.3932,393.2,13.6,R
2026-08-04,5013761,,,,0.4087,0.4087,408.75,14.45,R
2026-08-12,5013761,,,,0.7709,0.7709,770.9,13.3,R
2026-08-31,5013761,,,,0.644,0.644,644.05,13.85,R
2026-02-02,5533185,,,,0.4656,0.4656,465.6,8.0,R
2026-05-11,5533185,,,,-0.1605,-0.1605,-160.55,7.85,R
2026-08-07,5533185,,,,-0.2886,-0.2886,-288.6,9.7,R
2026-02-02,5533185,,,,0.4562,0.4562,456.25,7.85,R
2026-05-11,5533185,,,,-0.1573,-0.1573,-157.3,7.7,R
2026-08-07,5533185,,,,-0.2828,-0.2828,-282.8,9.5,R
2026-08-12,1510401,,,,0.0485,0.0485,48.5,21.6,R
2026-08-26,1510401,,,,0.1545,0.1545,154.55,24.85,R
2026-09-01,1510401,,,,-0.5105,-0.5105,-510.55,25.95,R
2026-01-12,5552641,,,,0.7173,0.7173,717.3,11.5,R
2026-01-22,5552641,,,,0.4183,0.4183,418.35,9.75,R
2026-02-02,5552641,,,,-1.0084,-1.0084,-1008.45,8.45,R
