date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,5552641,,,,0.7058,0.7058,705.8,23.0,R
2026-01-12,2977281,,,,-1.0432,-1.0432,-1043.2,42.9,R
2026-01-19,2977281,,,,-0.0305,-0.0305,-30.5,38.1,R
2026-01-20,5436929,,,,-1.0448,-1.0448,-1044.8,44.8,R
2026-01-21,5552641,,,,0.4031,0.4031,403.1,19.6,R
2026-01-22,2127617,,,,-0.0233,-0.0233,-23.3,44.6,R
2026-01-28,492033,,,,0.3135,0.3135,313.5,27.5,R
2026-02-01,5552641,,,,-0.0017,-0.0017,-1.7,19.0,R
2026-02-01,5506049,,,,-1.0236,-1.0236,-1023.6,23.6,R
2026-02-05,492033,,,,0.4444,0.4444,444.4,27.1,R
2026-02-05,558337,,,,-1.0395,-1.0395,-1039.5,39.5,R
2026-02-16,492033,,,,0.1189,0.1189,118.9,28.5,R
2026-02-17,5436929,,,,-1.0379,-1.0379,-1037.9,37.8,R
2026-02-23,558337,,,,0.8227,0.8227,822.7,44.6,R
2026-02-24,5552641,,,,0.0213,0.0213,21.3,20.4,R
2026-02-26,492033,,,,-1.0304,-1.0304,-1030.4,30.2,R
2026-02-27,558337,,,,-1.0456,-1.0456,-1045.6,45.6,R
2026-03-04,5552641,,,,-1.0194,-1.0194,-1019.4,19.4,R
2026-03-04,2813441,,,,0.5612,0.5612,561.2,21.7,R
2026-03-04,1102337,,,,-1.0345,-1.0345,-1034.5,34.5,R
2026-03-06,2585345,,,,-1.0338,-1.0338,-1033.8,33.9,R
2026-03-06,2962689,,,,0.1053,0.1053,105.3,18.2,R
2026-03-12,1304833,,,,0.5004,0.5004,500.4,16.2,R
2026-03-13,2585345,,,,0.4462,0.4462,446.2,28.0,R
2026-03-18,175361,,,,-1.0203,-1.0203,-1020.3,20.3,R
2026-03-20,1304833,,,,0.1128,0.1128,112.8,16.2,R
2026-03-23,2815745,,,,-1.0327,-1.0327,-1032.7,32.7,R
2026-03-24,175361,,,,0.1753,0.1753,175.3,20.0,R
2026-03-24,2127617,,,,0.6531,0.6531,653.1,29.7,R
2026-03-25,2962689,,,,-1.0184,-1.0184,-1018.4,18.4,R
2026-03-30,2127617,,,,-1.029,-1.029,-1029.0,29.0,R
2026-03-30,1304833,,,,0.1362,0.1362,136.2,16.6,R
2026-04-01,140033,,,,0.0777,0.0777,77.7,37.1,R
2026-04-01,2962689,,,,0.7282,0.7282,728.2,17.7,R
2026-04-02,2127617,,,,1.7441,1.7441,1744.1,25.0,R
2026-04-02,2455041,,,,1.4003,1.4003,1400.3,36.5,R
2026-04-06,5582849,,,,1.5509,1.5509,1550.9,51.5,R
2026-04-10,2585345,,,,0.774,0.774,774.0,30.0,R
2026-04-10,5506049,,,,1.0604,1.0604,1060.4,16.4,R
2026-04-10,5436929,,,,0.8936,0.8936,893.6,26.4,R
2026-04-13,140033,,,,0.105,0.105,105.0,34.9,R
2026-04-15,2674433,,,,1.2769,1.2769,1276.9,32.0,R
2026-04-16,60417,,,,0.4547,0.4547,454.7,25.5,R
2026-04-21,2962689,,,,-1.021,-1.021,-1021.0,21.0,R
2026-04-22,1304833,,,,-0.6612,-0.6612,-661.2,21.7,R
2026-04-23,60417,,,,0.0137,0.0137,13.7,27.6,R
2026-04-27,5582849,,,,1.005,1.005,1005.0,48.6,R
2026-04-27,2585345,,,,-1.0303,-1.0303,-1030.3,30.4,R
2026-05-04,5506049,,,,0.3803,0.3803,380.3,21.0,R
2026-05-07,175361,,,,-1.0225,-1.0225,-1022.5,22.5,R
2026-05-11,2585345,,,,-0.4302,-0.4302,-430.2,28.0,R
2026-05-11,140033,,,,-1.0353,-1.0353,-1035.3,35.3,R
2026-05-12,2127617,,,,-1.0317,-1.0317,-1031.7,31.7,R
2026-05-13,5552641,,,,-1.0208,-1.0208,-1020.8,20.8,R
2026-05-13,175361,,,,0.0193,0.0193,19.3,22.4,R
2026-05-14,2952193,,,,-1.0413,-1.0413,-1041.3,41.3,R
2026-05-27,2813441,,,,0.6555,0.6555,655.5,26.1,R
2026-06-01,140033,,,,-0.2466,-0.2466,-246.6,41.1,R
2026-06-02,2127617,,,,0.8111,0.8111,811.1,35.0,R
2026-06-03,5582849,,,,-1.0682,-1.0682,-1068.2,68.1,R
2026-06-04,2952193,,,,0.597,0.597,597.0,44.9,R
2026-06-08,2127617,,,,0.9418,0.9418,941.8,34.7,R
2026-06-09,558337,,,,1.2188,1.2188,1218.8,36.2,R
2026-06-10,2585345,,,,0.164,0.164,164.0,34.6,R
2026-06-11,5582849,,,,1.0267,1.0267,1026.7,67.4,R
2026-06-12,2674433,,,,0.9022,0.9022,902.2,43.3,R
2026-06-16,5436929,,,,0.0399,0.0399,39.9,34.4,R
2026-06-17,2585345,,,,0.7425,0.7425,742.5,35.3,R
2026-06-18,5506049,,,,-0.8348,-0.8348,-834.8,22.4,R
2026-06-19,175361,,,,0.554,0.554,554.0,24.6,R
2026-06-19,2952193,,,,0.4755,0.4755,475.5,49.3,R
2026-06-22,2674433,,,,0.6799,0.6799,679.9,42.1,R
2026-06-22,2127617,,,,-1.0426,-1.0426,-1042.6,42.6,R
2026-06-22,1304833,,,,0.8444,0.8444,844.4,25.5,R
2026-06-24,5582849,,,,0.7347,0.7347,734.7,71.6,R
2026-06-29,2813441,,,,0.3561,0.3561,356.1,31.4,R
2026-06-30,175361,,,,0.4434,0.4434,443.4,28.7,R
2026-07-01,140033,,,,0.8815,0.8815,881.5,50.2,R
2026-07-03,2127617,,,,1.1795,1.1795,1179.5,46.4,R
