date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,5013761,,,,-1.0282,-1.0282,-1028.2,28.2,R
2026-01-12,5552641,,,,0.7058,0.7058,705.8,23.0,R
2026-01-12,424961,,,,-1.0448,-1.0448,-1044.8,44.8,R
2026-01-12,2977281,,,,-1.0432,-1.0432,-1043.2,42.9,R
2026-01-13,519937,,,,-1.0409,-1.0409,-1040.9,40.8,R
2026-01-14,348929,,,,0.0623,0.0623,62.3,34.1,R
2026-01-19,5013761,,,,0.577,0.577,577.0,27.8,R
2026-01-19,2977281,,,,-0.0305,-0.0305,-30.5,38.1,R
2026-01-20,5436929,,,,-1.0448,-1.0448,-1044.8,44.8,R
2026-01-20,348929,,,,0.4053,0.4053,405.3,32.3,R
2026-01-21,5552641,,,,0.4031,0.4031,403.1,19.6,R
2026-01-21,3691009,,,,-0.0298,-0.0298,-29.8,32.8,R
2026-01-22,2127617,,,,-0.0233,-0.0233,-23.3,44.6,R
2026-01-23,5013761,,,,0.9104,0.9104,910.4,26.4,R
2026-01-23,424961,,,,-1.0458,-1.0458,-1045.8,45.6,R
2026-01-28,492033,,,,0.3135,0.3135,313.5,27.5,R
2026-01-28,3691009,,,,0.5376,0.5376,537.6,29.6,R
2026-01-28,2585345,,,,0.0916,0.0916,91.6,33.9,R
2026-02-01,5552641,,,,-0.0017,-0.0017,-1.7,19.0,R
2026-02-01,5506049,,,,-1.0236,-1.0236,-1023.6,23.6,R
2026-02-01,348929,,,,0.4405,0.4405,440.5,26.0,R
2026-02-02,5533185,,,,0.4576,0.4576,457.6,16.0,R
2026-02-02,424961,,,,0.5807,0.5807,580.7,40.4,R
2026-02-05,492033,,,,0.4444,0.4444,444.4,27.1,R
2026-02-05,558337,,,,-1.0395,-1.0395,-1039.5,39.5,R
2026-02-06,424961,,,,0.6724,0.6724,672.4,39.2,R
2026-02-10,348929,,,,-1.0233,-1.0233,-1023.3,23.3,R
2026-02-11,424961,,,,0.4551,0.4551,455.1,39.0,R
2026-02-13,130305,,,,0.7001,0.7001,700.1,21.8,R
2026-02-16,492033,,,,0.1189,0.1189,118.9,28.5,R
2026-02-17,2585345,,,,0.0852,0.0852,85.2,38.2,R
2026-02-17,5436929,,,,-1.0379,-1.0379,-1037.9,37.8,R
2026-02-20,2815745,,,,-1.0371,-1.0371,-1037.1,37.1,R
2026-02-23,424961,,,,-1.0435,-1.0435,-1043.5,43.7,R
2026-02-23,558337,,,,0.8227,0.8227,822.7,44.6,R
2026-02-24,5552641,,,,0.0213,0.0213,21.3,20.4,R
2026-02-26,492033,,,,-1.0304,-1.0304,-1030.4,30.2,R
2026-02-27,348929,,,,0.3574,0.3574,357.4,24.5,R
2026-02-27,558337,,,,-1.0456,-1.0456,-1045.6,45.6,R
2026-03-02,5436929,,,,0.9419,0.9419,941.9,35.1,R
2026-03-04,5552641,,,,-1.0194,-1.0194,-1019.4,19.4,R
2026-03-04,738561,,,,0.5899,0.5899,589.9,30.2,R
2026-03-04,424961,,,,-1.0443,-1.0443,-1044.3,44.6,R
2026-03-04,2813441,,,,0.5612,0.5612,561.2,21.7,R
2026-03-04,2585345,,,,-1.0387,-1.0387,-1038.7,38.7,R
2026-03-04,1102337,,,,-1.0345,-1.0345,-1034.5,34.5,R
2026-03-04,558337,,,,-1.0418,-1.0418,-1041.8,41.8,R
2026-03-05,2815745,,,,-1.0356,-1.0356,-1035.6,35.6,R
2026-03-06,2962689,,,,0.1053,0.1053,105.3,18.2,R
2026-03-09,356865,,,,-1.0365,-1.0365,-1036.5,36.5,R
2026-03-10,2952193,,,,-1.0312,-1.0312,-1031.2,31.2,R
2026-03-10,5436929,,,,-1.0342,-1.0342,-1034.2,34.2,R
2026-03-10,2585345,,,,-1.0325,-1.0325,-1032.5,32.5,R
2026-03-10,492033,,,,-1.0268,-1.0268,-1026.8,26.7,R
2026-03-10,2815745,,,,-1.0307,-1.0307,-1030.7,30.7,R
2026-03-10,348929,,,,-1.0231,-1.0231,-1023.1,23.0,R
2026-03-10,1102337,,,,0.5543,0.5543,554.3,27.2,R
2026-03-12,1304833,,,,0.5004,0.5004,500.4,16.2,R
2026-03-13,1102337,,,,-1.025,-1.025,-1025.0,25.0,R
2026-03-16,2585345,,,,0.0061,0.0061,6.1,29.6,R
2026-03-16,2952193,,,,0.4579,0.4579,457.9,26.5,R
2026-03-16,5436929,,,,0.6059,0.6059,605.9,34.1,R
2026-03-16,2815745,,,,0.4178,0.4178,417.8,26.1,R
2026-03-16,60417,,,,0.1279,0.1279,127.9,28.0,R
2026-03-17,5582849,,,,0.2645,0.2645,264.5,22.9,R
2026-03-18,5013761,,,,0.6477,0.6477,647.7,23.1,R
2026-03-18,175361,,,,-1.0203,-1.0203,-1020.3,20.3,R
2026-03-19,197633,,,,-1.0673,-1.0673,-1067.3,67.6,R
2026-03-20,2585345,,,,0.5745,0.5745,574.5,31.2,R
2026-03-20,2952193,,,,0.6077,0.6077,607.7,27.2,R
2026-03-20,5436929,,,,-1.0343,-1.0343,-1034.3,34.4,R
2026-03-20,1304833,,,,0.1128,0.1128,112.8,16.2,R
2026-03-20,2815745,,,,0.6823,0.6823,682.3,26.6,R
2026-03-20,356865,,,,0.0082,0.0082,8.2,34.5,R
2026-03-20,60417,,,,0.0967,0.0967,96.7,28.6,R
2026-03-23,197633,,,,-1.0632,-1.0632,-1063.2,63.1,R
2026-03-23,5582849,,,,0.2801,0.2801,280.1,23.0,R
2026-03-23,1102337,,,,0.7465,0.7465,746.5,22.7,R
2026-03-23,415745,,,,0.1268,0.1268,126.8,18.4,R
2026-03-24,175361,,,,0.1753,0.1753,175.3,20.0,R
2026-03-24,2127617,,,,0.6531,0.6531,653.1,29.7,R
2026-03-24,424961,,,,0.1568,0.1568,156.8,42.8,R
2026-03-24,492033,,,,0.309,0.309,309.0,24.8,R
2026-03-24,2977281,,,,-1.0399,-1.0399,-1039.9,39.7,R
2026-03-25,5436929,,,,-1.0328,-1.0328,-1032.8,32.8,R
2026-03-25,2962689,,,,-1.0184,-1.0184,-1018.4,18.4,R
