date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,2977281,,,,-1.0251,-1.0498,-1025.05,,R
2026-01-12,424961,,,,-1.0167,-1.0331,-1016.65,,R
2026-01-12,5552641,,,,0.7173,0.7058,717.3,,R
2026-01-12,2977281,,,,-1.0217,-1.0432,-1021.75,,R
2026-01-12,424961,,,,-1.0224,-1.0448,-1022.4,,R
2026-01-12,2977281,,,,-1.0188,-1.0375,-1018.8,,R
2026-01-12,424961,,,,-1.0192,-1.0385,-1019.25,,R
2026-01-12,5013761,,,,-1.0141,-1.0282,-1014.1,,R
2026-01-13,519937,,,,-1.0193,-1.0387,-1019.35,,R
2026-01-13,519937,,,,-1.0191,-1.0383,-1019.1,,R
2026-01-13,519937,,,,-1.0205,-1.0409,-1020.5,,R
2026-01-14,348929,,,,0.0794,0.0623,79.35,,R
2026-01-14,348929,,,,0.05,0.0393,50.05,,R
2026-01-14,348929,,,,0.0717,0.0563,71.7,,R
2026-01-16,2977281,,,,0.4736,0.4554,473.6,,R
2026-01-16,2977281,,,,0.5211,0.501,521.05,,R
2026-01-20,5436929,,,,-1.0091,-1.0183,-1009.1,,R
2026-01-20,5436929,,,,-1.0224,-1.0448,-1022.4,,R
2026-01-20,5013761,,,,0.4213,0.4078,421.3,,R
2026-01-21,348929,,,,0.3026,0.294,302.65,,R
2026-01-21,3691009,,,,-0.0108,-0.024,-10.8,,R
2026-01-21,3691009,,,,-0.0134,-0.0298,-13.4,,R
2026-01-21,348929,,,,0.5224,0.5075,522.4,,R
2026-01-21,348929,,,,0.5796,0.5631,579.6,,R
2026-01-22,348929,,,,0.3779,0.3632,377.85,,R
2026-01-22,2127617,,,,-0.001,-0.0233,-1.0,,R
2026-01-22,5552641,,,,0.4183,0.4086,418.35,,R
2026-01-22,348929,,,,0.4183,0.4021,418.3,,R
2026-01-22,2127617,,,,-0.0008,-0.0204,-0.85,,R
2026-01-22,348929,,,,0.2642,0.254,264.25,,R
2026-01-22,2127617,,,,-0.0009,-0.0209,-0.95,,R
2026-01-27,5013761,,,,0.8819,0.8686,881.9,,R
2026-01-27,424961,,,,-1.0234,-1.0469,-1023.45,,R
2026-01-28,2585345,,,,0.1085,0.0916,108.55,,R
2026-01-28,492033,,,,0.3226,0.3091,322.65,,R
2026-01-28,492033,,,,0.3272,0.3135,327.25,,R
2026-01-28,492033,,,,0.2748,0.2633,274.85,,R
2026-01-29,424961,,,,-1.0209,-1.0414,-1020.85,,R
2026-02-01,348929,,,,0.2367,0.23,236.75,,R
2026-02-01,348929,,,,0.4535,0.4405,453.5,,R
2026-02-01,5506049,,,,-1.0084,-1.0168,-1008.4,,R
2026-02-01,5506049,,,,-1.0118,-1.0236,-1011.8,,R
2026-02-01,348929,,,,0.4087,0.397,408.7,,R
2026-02-01,5552641,,,,0.0089,-0.002,8.9,,R
2026-02-01,5506049,,,,-1.0093,-1.0187,-1009.3,,R
2026-02-02,5533185,,,,0.4506,0.4429,450.65,,R
2026-02-02,5552641,,,,-1.0084,-1.0169,-1008.45,,R
2026-02-02,5533185,,,,0.4562,0.4484,456.25,,R
2026-02-02,5533185,,,,0.426,0.4187,426.05,,R
2026-02-02,5533185,,,,0.4266,0.4193,426.65,,R
2026-02-02,5533185,,,,0.4553,0.4475,455.35,,R
2026-02-02,5533185,,,,0.4656,0.4576,465.6,,R
2026-02-03,424961,,,,0.4702,0.4531,470.15,,R
2026-02-03,424961,,,,0.5472,0.5274,547.25,,R
2026-02-05,558337,,,,-1.0132,-1.0264,-1013.2,,R
2026-02-05,558337,,,,-1.0197,-1.0395,-1019.75,,R
2026-02-05,558337,,,,-1.013,-1.0259,-1012.95,,R
2026-02-06,492033,,,,0.4566,0.4431,456.6,,R
2026-02-06,492033,,,,0.4502,0.4369,450.2,,R
2026-02-06,492033,,,,0.3835,0.3722,383.55,,R
2026-02-10,348929,,,,-1.0105,-1.021,-1010.5,,R
2026-02-10,348929,,,,-1.0116,-1.0233,-1011.65,,R
2026-02-10,348929,,,,0.2895,0.2835,289.55,,R
2026-02-12,424961,,,,0.5008,0.484,500.8,,R
2026-02-12,424961,,,,0.583,0.5634,582.95,,R
2026-02-13,130305,,,,0.711,0.7001,711.0,,R
2026-02-16,492033,,,,0.1331,0.1189,133.15,,R
2026-02-16,492033,,,,0.1312,0.1172,131.25,,R
2026-02-16,492033,,,,0.1119,0.0999,111.85,,R
2026-02-17,5436929,,,,-1.019,-1.0379,-1019.0,,R
2026-02-18,2585345,,,,-1.0199,-1.0399,-1019.95,,R
2026-02-20,2815745,,,,-1.0122,-1.0244,-1012.2,,R
