date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,adx,,,,-1.0251,-1.0498,-1025.05,24.75,R
2026-01-12,vwap,,,,-1.0167,-1.0331,-1016.65,16.45,R
2026-01-12,rsi,,,,0.7173,0.7058,717.3,11.5,R
2026-01-12,ema,,,,-1.0217,-1.0432,-1021.75,21.45,R
2026-01-12,vwap,,,,-1.0224,-1.0448,-1022.4,22.4,R
2026-01-12,ema,,,,-1.0188,-1.0375,-1018.8,18.7,R
2026-01-12,vwap,,,,-1.0192,-1.0385,-1019.25,19.25,R
2026-01-12,stddev_returns,,,,-1.0141,-1.0282,-1014.1,14.1,R
2026-01-13,atr,,,,-1.0193,-1.0387,-1019.35,19.35,R
2026-01-13,atr,,,,-1.0191,-1.0383,-1019.1,19.2,R
2026-01-13,atr,,,,-1.0205,-1.0409,-1020.5,20.4,R
2026-01-14,pct_from_hilo,,,,0.0794,0.0623,79.35,17.05,R
2026-01-14,pct_from_hilo,,,,0.05,0.0393,50.05,10.75,R
2026-01-14,pct_from_hilo,,,,0.0717,0.0563,71.7,15.4,R
2026-01-16,sma,,,,0.4736,0.4554,473.6,18.2,R
2026-01-16,sma,,,,0.5211,0.501,521.05,20.05,R
2026-01-20,cci,,,,-1.0091,-1.0183,-1009.1,9.2,R
2026-01-20,cci,,,,-1.0224,-1.0448,-1022.4,22.4,R
2026-01-20,stddev_returns,,,,0.4213,0.4078,421.3,13.5,R
2026-01-21,dist_from_ma,,,,0.3026,0.294,302.65,8.65,R
2026-01-21,vwap,,,,-0.0108,-0.024,-10.8,13.2,R
2026-01-21,vwap,,,,-0.0134,-0.0298,-13.4,16.4,R
2026-01-21,dist_from_ma,,,,0.5224,0.5075,522.4,14.9,R
2026-01-21,dist_from_ma,,,,0.5796,0.5631,579.6,16.5,R
2026-01-22,pct_from_hilo,,,,0.3779,0.3632,377.85,14.65,R
2026-01-22,vwap,,,,-0.001,-0.0233,-1.0,22.3,R
2026-01-22,rsi,,,,0.4183,0.4086,418.35,9.75,R
2026-01-22,pct_from_hilo,,,,0.4183,0.4021,418.3,16.2,R
2026-01-22,vwap,,,,-0.0008,-0.0204,-0.85,19.55,R
2026-01-22,pct_from_hilo,,,,0.2642,0.254,264.25,10.25,R
2026-01-22,vwap,,,,-0.0009,-0.0209,-0.95,19.95,R
2026-01-27,stddev_returns,,,,0.8819,0.8686,881.9,13.3,R
2026-01-27,vwap,,,,-1.0234,-1.0469,-1023.45,23.45,R
2026-01-28,vwap,,,,0.1085,0.0916,108.55,16.95,R
2026-01-28,obv,,,,0.3226,0.3091,322.65,13.55,R
2026-01-28,obv,,,,0.3272,0.3135,327.25,13.75,R
2026-01-28,obv,,,,0.2748,0.2633,274.85,11.55,R
2026-01-29,vwap,,,,-1.0209,-1.0414,-1020.85,20.55,R
2026-02-01,dist_from_ma,,,,0.2367,0.23,236.75,6.75,R
2026-02-01,dist_from_ma,,,,0.4535,0.4405,453.5,13.0,R
2026-02-01,dist_from_ma,,,,-1.0084,-1.0168,-1008.4,8.4,R
2026-02-01,dist_from_ma,,,,-1.0118,-1.0236,-1011.8,11.8,R
2026-02-01,dist_from_ma,,,,0.4087,0.397,408.7,11.7,R
2026-02-01,rsi,,,,0.0089,-0.002,8.9,10.9,R
2026-02-01,dist_from_ma,,,,-1.0093,-1.0187,-1009.3,9.4,R
2026-02-02,stddev_returns,,,,0.4506,0.4429,450.65,7.75,R
2026-02-02,rsi,,,,-1.0084,-1.0169,-1008.45,8.45,R
2026-02-02,stddev_returns,,,,0.4562,0.4484,456.25,7.85,R
2026-02-02,hist_vol,,,,0.426,0.4187,426.05,7.35,R
2026-02-02,stddev_returns,,,,0.4266,0.4193,426.65,7.35,R
2026-02-02,hist_vol,,,,0.4553,0.4475,455.35,7.85,R
2026-02-02,hist_vol,,,,0.4656,0.4576,465.6,8.0,R
2026-02-03,vwap,,,,0.4702,0.4531,470.15,17.05,R
2026-02-03,vwap,,,,0.5472,0.5274,547.25,19.85,R
2026-02-05,sma,,,,-1.0132,-1.0264,-1013.2,13.2,R
2026-02-05,sma,,,,-1.0197,-1.0395,-1019.75,19.75,R
2026-02-05,sma,,,,-1.013,-1.0259,-1012.95,12.95,R
2026-02-06,obv,,,,0.4566,0.4431,456.6,13.5,R
2026-02-06,obv,,,,0.4502,0.4369,450.2,13.3,R
2026-02-06,obv,,,,0.3835,0.3722,383.55,11.35,R
2026-02-10,dist_from_ma,,,,-1.0105,-1.021,-1010.5,10.5,R
2026-02-10,dist_from_ma,,,,-1.0116,-1.0233,-1011.65,11.65,R
2026-02-10,dist_from_ma,,,,0.2895,0.2835,289.55,6.05,R
2026-02-12,vwap,,,,0.5008,0.484,500.8,16.8,R
2026-02-12,vwap,,,,0.583,0.5634,582.95,19.55,R
2026-02-13,roc,,,,0.711,0.7001,711.0,10.9,R
2026-02-16,obv,,,,0.1331,0.1189,133.15,14.25,R
2026-02-16,obv,,,,0.1312,0.1172,131.25,14.05,R
2026-02-16,obv,,,,0.1119,0.0999,111.85,11.95,R
2026-02-17,cci,,,,-1.019,-1.0379,-1019.0,18.9,R
2026-02-18,vwap,,,,-1.0199,-1.0399,-1019.95,19.95,R
2026-02-20,ema,,,,-1.0122,-1.0244,-1012.2,12.2,R
2026-02-20,ema,,,,-1.0185,-1.0371,-1018.55,18.55,R
2026-02-20,ema,,,,-1.0136,-1.0272,-1013.6,13.6,R
2026-02-24,sma,,,,0.8175,0.7944,817.55,23.15,R
2026-02-24,rsi,,,,0.0362,0.0245,36.2,11.7,R
2026-02-24,rsi,,,,0.0315,0.0213,31.5,10.2,R
2026-02-27,pct_from_hilo,,,,0.3338,0.3228,333.85,11.05,R
2026-02-27,pct_from_hilo,,,,0.3696,0.3574,369.65,12.25,R
2026-02-27,pct_from_hilo,,,,0.2334,0.2257,233.45,7.75,R
2026-03-02,obv,,,,-1.0145,-1.0291,-1014.5,14.6,R
2026-03-02,vwap,,,,0.3371,0.3309,337.05,6.15,R
2026-03-02,sma,,,,-1.0223,-1.0446,-1022.3,22.3,R
2026-03-02,obv,,,,-1.0149,-1.0297,-1014.9,14.8,R
2026-03-02,vwap,,,,0.9595,0.9419,959.45,17.55,R
2026-03-02,obv,,,,-1.0125,-1.0249,-1012.45,12.45,R
2026-03-02,vwap,,,,0.3371,0.3309,337.05,6.15,R
2026-03-04,stddev_returns,,,,-1.0172,-1.0345,-1017.25,17.25,R
2026-03-04,stddev_returns,,,,-1.0158,-1.0316,-1015.8,15.8,R
2026-03-04,hist_vol,,,,0.4596,0.4509,459.6,8.7,R
2026-03-04,rsi,,,,-1.0097,-1.0194,-1009.7,9.7,R
2026-03-04,stddev_returns,,,,0.5708,0.56,570.8,10.8,R
2026-03-04,hist_vol,,,,0.5475,0.5371,547.45,10.35,R
2026-03-04,vwap,,,,0.3539,0.3451,353.9,8.8,R
2026-03-04,stddev_returns,,,,0.4549,0.4463,454.9,8.6,R
2026-03-04,hist_vol,,,,0.5721,0.5612,572.05,10.85,R
2026-03-04,vwap,,,,0.3578,0.3489,357.8,8.9,R
2026-03-04,vwap,,,,0.605,0.5899,605.0,15.1,R
2026-03-04,stddev_returns,,,,0.5491,0.5387,549.1,10.4,R
2026-03-04,stddev_returns,,,,-1.016,-1.0321,-1016.05,16.05,R
2026-03-05,hist_vol,,,,-1.0141,-1.0282,-1014.1,14.1,R
2026-03-05,hist_vol,,,,-1.0153,-1.0306,-1015.3,15.3,R
2026-03-05,hist_vol,,,,-1.0138,-1.0276,-1013.8,13.8,R
2026-03-06,vwap,,,,-1.0078,-1.0157,-1007.85,7.85,R
2026-03-06,vwap,,,,-1.0169,-1.0338,-1016.85,16.95,R
2026-03-06,hist_vol,,,,0.0862,0.0793,86.15,6.85,R
2026-03-06,hist_vol,,,,0.1144,0.1053,114.4,9.1,R
2026-03-06,ema,,,,-1.0173,-1.0347,-1017.35,17.35,R
2026-03-06,vwap,,,,-1.0123,-1.0246,-1012.3,12.3,R
2026-03-06,hist_vol,,,,0.0808,0.0744,80.85,6.45,R
2026-03-06,ema,,,,-1.0127,-1.0254,-1012.7,12.7,R
2026-03-09,obv,,,,-1.0151,-1.0301,-1015.05,15.05,R
2026-03-09,obv,,,,-1.0183,-1.0365,-1018.25,18.25,R
2026-03-09,obv,,,,-1.0134,-1.0269,-1013.45,13.45,R
2026-03-10,mfi,,,,-1.0117,-1.0234,-1011.7,11.7,R
2026-03-10,dist_from_ma,,,,-1.0116,-1.0231,-1011.6,11.5,R
2026-03-10,mfi,,,,-1.0117,-1.0234,-1011.7,11.7,R
2026-03-10,mfi,,,,-1.0156,-1.0312,-1015.6,15.6,R
2026-03-11,vwap,,,,-1.0174,-1.0348,-1017.45,17.35,R
2026-03-11,hist_vol,,,,-1.0117,-1.0236,-1011.75,11.85,R
2026-03-11,pct_from_hilo,,,,0.376,0.369,376.05,7.05,R
2026-03-11,stddev_returns,,,,-1.0123,-1.0246,-1012.25,12.35,R
2026-03-11,pct_from_hilo,,,,-1.01,-1.0201,-1010.05,10.05,R
2026-03-11,hist_vol,,,,-1.0115,-1.0231,-1011.5,11.6,R
2026-03-11,vwap,,,,0.2032,0.1971,203.2,6.1,R
2026-03-11,vwap,,,,0.2032,0.1971,203.2,6.1,R
2026-03-11,pct_from_hilo,,,,-1.0111,-1.0223,-1011.15,11.15,R
2026-03-11,ema,,,,-1.0154,-1.0308,-1015.4,15.4,R
2026-03-11,ema,,,,-1.0101,-1.0202,-1010.1,10.1,R
2026-03-11,hist_vol,,,,-1.0128,-1.0256,-1012.75,12.85,R
