date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,adx,,,,-1.0251,-1.0498,-1025.05,24.75,R
2026-01-12,vwap,,,,-1.0167,-1.0331,-1016.65,16.45,R
2026-01-12,rsi,,,,0.7173,0.7058,717.3,11.5,R
2026-01-12,ema,,,,-1.0217,-1.0432,-1021.75,21.45,R
2026-01-12,vwap,,,,-1.0224,-1.0448,-1022.4,22.4,R
2026-01-12,ema,,,,-1.0188,-1.0375,-1018.8,18.7,R
2026-01-12,vwap,,,,-1.0192,-1.0385,-1019.25,19.25,R
2026-01-12,stddev_returns,,,,-1.0141,-1.0282,-1014.1,14.1,R
2026-01-13,atr,,,,-1.0193,-1.0387,-1019.35,19.35,R
2026-01-13,atr,,,,-1.0191,-1.0383,-1019.1,19.2,R
2026-01-13,atr,,,,-1.0205,-1.0409,-1020.5,20.4,R
2026-01-14,pct_from_hilo,,,,0.05,0.0393,50.05,10.75,R
2026-01-14,pct_from_hilo,,,,0.0717,0.0563,71.7,15.4,R
2026-01-14,pct_from_hilo,,,,0.0794,0.0623,79.35,17.05,R
2026-01-16,sma,,,,0.4736,0.4554,473.6,18.2,R
2026-01-16,sma,,,,0.5211,0.501,521.05,20.05,R
2026-01-20,cci,,,,-1.0091,-1.0183,-1009.1,9.2,R
2026-01-20,cci,,,,-1.0224,-1.0448,-1022.4,22.4,R
2026-01-20,stddev_returns,,,,0.4213,0.4078,421.3,13.5,R
2026-01-21,dist_from_ma,,,,0.3026,0.294,302.65,8.65,R
2026-01-21,dist_from_ma,,,,0.5252,0.5103,525.24,14.95,R
2026-01-21,dist_from_ma,,,,0.45,0.4371,449.97,12.83,R
2026-01-21,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-21,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-22,pct_from_hilo,,,,0.3566,0.3427,356.56,13.82,R
2026-01-22,pct_from_hilo,,,,0.3869,0.3719,386.9,14.98,R
2026-01-22,pct_from_hilo,,,,0.2395,0.2302,239.47,9.29,R
2026-01-22,rsi,,,,0.3363,0.3284,336.27,7.84,R
2026-01-22,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-22,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-22,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-27,stddev_returns,,,,0.6393,0.6297,639.31,9.64,R
2026-01-27,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-01-28,obv,,,,0.3226,0.3091,322.65,13.55,R
2026-01-28,obv,,,,0.3272,0.3135,327.25,13.75,R
2026-01-28,obv,,,,0.2748,0.2633,274.85,11.55,R
2026-01-28,vwap,,,,0.0,0.0,0.0,0.0,R
2026-01-29,vwap,,,,-0.0,-0.0,-0.0,0.0,R
2026-02-01,dist_from_ma,,,,0.3857,0.3746,385.67,11.04,R
2026-02-01,dist_from_ma,,,,0.2234,0.217,223.41,6.37,R
2026-02-01,dist_from_ma,,,,0.4279,0.4157,427.95,12.27,R
2026-02-01,dist_from_ma,,,,-0.8143,-0.8211,-814.29,6.78,R
2026-02-01,dist_from_ma,,,,-0.8009,-0.8102,-800.9,9.34,R
2026-02-01,dist_from_ma,,,,-0.7989,-0.8064,-798.92,7.44,R
2026-02-01,rsi,,,,0.007,-0.0016,7.01,8.59,R
2026-02-02,stddev_returns,,,,0.4529,0.4451,452.86,7.79,R
2026-02-02,stddev_returns,,,,0.4473,0.4396,447.3,7.69,R
2026-02-02,hist_vol,,,,0.4579,0.45,457.91,7.87,R
2026-02-02,hist_vol,,,,0.4151,0.408,415.13,7.16,R
2026-02-02,stddev_returns,,,,0.4157,0.4086,415.72,7.16,R
2026-02-02,hist_vol,,,,0.4437,0.436,443.68,7.65,R
2026-02-02,rsi,,,,-0.859,-0.8662,-858.99,7.2,R
2026-02-03,vwap,,,,0.0592,0.0571,59.2,2.15,R
2026-02-03,vwap,,,,0.0689,0.0664,68.91,2.5,R
2026-02-05,sma,,,,-1.3427,-1.3602,-1342.69,17.49,R
2026-02-05,sma,,,,-1.3514,-1.3775,-1351.37,26.17,R
2026-02-05,sma,,,,-1.3301,-1.3471,-1330.05,17.0,R
2026-02-06,obv,,,,0.5619,0.5452,561.85,16.63,R
2026-02-06,obv,,,,0.6689,0.6491,668.86,19.78,R
2026-02-06,obv,,,,0.6595,0.64,659.49,19.48,R
2026-02-10,dist_from_ma,,,,-0.4384,-0.4434,-438.36,5.05,R
2026-02-10,dist_from_ma,,,,0.1255,0.1228,125.47,2.62,R
2026-02-10,dist_from_ma,,,,-0.4379,-0.4424,-437.86,4.55,R
2026-02-12,vwap,,,,0.1268,0.1225,126.77,4.25,R
2026-02-12,vwap,,,,0.1476,0.1426,147.56,4.95,R
2026-02-13,roc,,,,0.5147,0.5068,514.7,7.89,R
2026-02-16,obv,,,,0.195,0.1742,195.05,20.87,R
2026-02-16,obv,,,,0.1923,0.1717,192.26,20.58,R
2026-02-16,obv,,,,0.1607,0.1435,160.67,17.17,R
2026-02-17,cci,,,,-0.9795,-0.9977,-979.53,18.17,R
2026-02-18,vwap,,,,-0.2569,-0.2619,-256.86,5.02,R
2026-02-20,ema,,,,-1.0019,-1.014,-1001.92,12.08,R
2026-02-20,ema,,,,-1.0082,-1.0266,-1008.2,18.36,R
2026-02-20,ema,,,,-1.0033,-1.0168,-1003.3,13.46,R
2026-02-24,rsi,,,,0.0291,0.0197,29.1,9.4,R
2026-02-24,rsi,,,,0.0253,0.0171,25.32,8.2,R
2026-02-24,sma,,,,0.2707,0.263,270.68,7.66,R
2026-02-27,pct_from_hilo,,,,0.2203,0.213,220.3,7.31,R
2026-02-27,pct_from_hilo,,,,0.315,0.3046,315.04,10.43,R
2026-02-27,pct_from_hilo,,,,0.3488,0.3373,348.82,11.56,R
2026-03-02,obv,,,,-1.4573,-1.4783,-1457.34,20.97,R
2026-03-02,obv,,,,-1.4257,-1.4432,-1425.67,17.53,R
2026-03-02,obv,,,,-1.4291,-1.45,-1429.12,20.84,R
2026-03-02,sma,,,,-0.3385,-0.3459,-338.47,7.38,R
2026-03-02,vwap,,,,0.0849,0.0833,84.88,1.55,R
2026-03-02,vwap,,,,0.2416,0.2372,241.62,4.42,R
2026-03-02,vwap,,,,0.0849,0.0833,84.88,1.55,R
2026-03-04,stddev_returns,,,,0.5491,0.5387,549.1,10.4,R
2026-03-04,hist_vol,,,,0.4596,0.4509,459.6,8.7,R
2026-03-04,hist_vol,,,,0.5475,0.5371,547.45,10.35,R
2026-03-04,stddev_returns,,,,0.5708,0.56,570.8,10.8,R
2026-03-04,hist_vol,,,,0.568,0.5572,567.98,10.77,R
2026-03-04,stddev_returns,,,,0.4484,0.44,448.43,8.48,R
2026-03-04,stddev_returns,,,,-0.9607,-0.9757,-960.75,14.94,R
2026-03-04,stddev_returns,,,,-0.9621,-0.9784,-962.12,16.32,R
2026-03-04,stddev_returns,,,,-0.9542,-0.9692,-954.15,15.07,R
2026-03-04,rsi,,,,-0.8174,-0.8253,-817.44,7.85,R
2026-03-04,vwap,,,,0.3082,0.3005,308.15,7.69,R
2026-03-04,vwap,,,,0.1822,0.1777,182.24,4.53,R
2026-03-04,vwap,,,,0.1803,0.1758,180.26,4.48,R
2026-03-05,hist_vol,,,,-0.9591,-0.9725,-959.14,13.34,R
2026-03-05,hist_vol,,,,-0.9603,-0.9747,-960.27,14.47,R
2026-03-05,hist_vol,,,,-0.9589,-0.9719,-958.86,13.05,R
2026-03-06,hist_vol,,,,0.0542,0.0499,54.23,4.33,R
2026-03-06,hist_vol,,,,0.0578,0.0532,57.79,4.6,R
2026-03-06,hist_vol,,,,0.0767,0.0706,76.74,6.1,R
2026-03-06,vwap,,,,-0.5161,-0.5223,-516.06,6.27,R
2026-03-06,vwap,,,,-0.5184,-0.527,-518.38,8.64,R
2026-03-06,vwap,,,,-0.5138,-0.5178,-513.79,4.0,R
2026-03-06,ema,,,,-0.5111,-0.5199,-511.14,8.72,R
2026-03-06,ema,,,,-0.5088,-0.5152,-508.8,6.38,R
2026-03-09,obv,,,,-0.6812,-0.6913,-681.2,10.1,R
2026-03-09,obv,,,,-0.6834,-0.6956,-683.35,12.25,R
2026-03-09,obv,,,,-0.6801,-0.6892,-680.13,9.03,R
2026-03-10,mfi,,,,-1.0117,-1.0234,-1011.7,11.7,R
2026-03-10,mfi,,,,-1.0117,-1.0234,-1011.7,11.7,R
2026-03-10,mfi,,,,-1.0156,-1.0312,-1015.6,15.6,R
2026-03-10,dist_from_ma,,,,-0.5072,-0.5129,-507.16,5.77,R
2026-03-11,pct_from_hilo,,,,-0.9669,-0.9765,-966.88,9.62,R
2026-03-11,pct_from_hilo,,,,0.36,0.3532,359.98,6.75,R
2026-03-11,pct_from_hilo,,,,-0.9611,-0.9717,-961.05,10.6,R
2026-03-11,stddev_returns,,,,-0.9574,-0.9691,-957.39,11.68,R
2026-03-11,stddev_returns,,,,-0.9583,-0.9709,-958.34,12.53,R
2026-03-11,stddev_returns,,,,-0.9572,-0.9687,-957.25,11.44,R
2026-03-11,hist_vol,,,,-0.6784,-0.6863,-678.39,7.95,R
2026-03-11,hist_vol,,,,-0.6782,-0.686,-678.22,7.78,R
2026-03-11,hist_vol,,,,-0.6791,-0.6877,-679.06,8.62,R
2026-03-11,vwap,,,,0.1035,0.1004,103.54,3.11,R
2026-03-11,vwap,,,,0.1035,0.1004,103.54,3.11,R
2026-03-11,vwap,,,,-0.5185,-0.5273,-518.46,8.84,R
2026-03-11,ema,,,,-0.34,-0.3452,-340.04,5.16,R
