date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-05,MCX,1,,,1.893,1.793,1893.0,,R
2026-01-16,KOTAKBANK,1,,,0.614,0.514,614.0,,R
2026-01-19,TCS,1,,,0.245,0.145,245.0,,R
2026-01-27,HAVELLS,1,,,-0.17,-0.27,-170.0,,R
2026-01-28,WIPRO,1,,,2.002,1.902,2002.0,,R
2026-02-01,COFORGE,1,,,-6.557,-6.657,-6557.0,,R
2026-02-06,GAIL,1,,,-1.423,-1.523,-1423.0,,R
2026-02-09,NATIONALUM,1,,,-4.657,-4.757,-4657.0,,R
2026-02-09,RECLTD,1,,,-1.338,-1.438,-1338.0,,R
2026-02-11,NHPC,1,,,-1.939,-2.039,-1939.0,,R
2026-02-12,HEROMOTOCO,1,,,-5.866,-5.966,-5866.0,,R
2026-02-19,HAL,1,,,-1.974,-2.074,-1974.0,,R
2026-02-23,PFC,1,,,-1.559,-1.659,-1559.0,,R
2026-03-09,BEL,1,,,-6.07,-6.17,-6070.0,,R
2026-03-23,RECLTD,1,,,2.467,2.367,2467.0,,R
2026-03-24,PFC,1,,,1.078,0.978,1078.0,,R
2026-03-30,VEDL,1,,,9.976,9.876,9976.0,,R
2026-04-01,TVSMOTOR,1,,,7.695,7.595,7695.0,,R
2026-05-11,NATIONALUM,1,,,1.51,1.41,1510.0,,R
2026-05-18,SBIN,1,,,3.366,3.266,3366.0,,R
2026-05-25,HAVELLS,1,,,-1.866,-1.966,-1866.0,,R
2026-05-25,LT,1,,,-0.397,-0.497,-397.0,,R
2026-05-26,TCS,1,,,-1.816,-1.916,-1816.0,,R
2026-06-04,ASHOKLEY,1,,,-4.613,-4.713,-4613.0,,R
2026-06-08,CIPLA,1,,,-0.846,-0.946,-846.0,,R
2026-06-08,BANKBARODA,1,,,6.518,6.418,6518.0,,R
2026-06-08,RELIANCE,1,,,3.224,3.124,3224.0,,R
2026-06-08,JSWENERGY,1,,,-0.689,-0.789,-689.0,,R
2026-06-11,INFY,1,,,0.14,0.04,140.0,,R
2026-06-15,PNB,1,,,1.349,1.249,1349.0,,R
2026-06-15,ADANIPORTS,1,,,0.946,0.846,946.0,,R
2026-06-15,CANBK,1,,,1.419,1.319,1419.0,,R
2026-06-15,VOLTAS,1,,,1.436,1.336,1436.0,,R
2026-06-15,TATASTEEL,1,,,0.304,0.204,304.0,,R
2026-06-22,POLYCAB,1,,,-0.788,-0.888,-788.0,,R
2026-06-22,HDFCBANK,1,,,1.071,0.971,1071.0,,R
2026-06-24,TATAPOWER,1,,,-3.91,-4.01,-3910.0,,R
2026-07-01,BAJFINANCE,1,,,-0.582,-0.682,-582.0,,R
2026-07-06,TECHM,1,,,6.45,6.35,6450.0,,R
2026-07-08,JSWSTEEL,1,,,0.365,0.265,365.0,,R
2026-07-10,TITAN,1,,,0.96,0.86,960.0,,R
2026-07-13,BSE,1,,,-4.243,-4.343,-4243.0,,R
2026-07-13,HINDALCO,1,,,-2.053,-2.153,-2053.0,,R
2026-07-13,DRREDDY,1,,,-0.619,-0.719,-619.0,,R
2026-07-13,AXISBANK,1,,,-5.07,-5.17,-5070.0,,R
2026-07-16,TCS,1,,,2.043,1.943,2043.0,,R
2026-07-20,BHEL,1,,,-0.732,-0.832,-732.0,,R
2026-07-20,KOTAKBANK,1,,,0.906,0.806,906.0,,R
2026-07-20,LUPIN,1,,,-3.049,-3.149,-3049.0,,R
2026-07-27,HEROMOTOCO,1,,,6.098,5.998,6098.0,,R
2026-07-27,BHARTIARTL,1,,,2.839,2.739,2839.0,,R
2026-07-27,DIVISLAB,1,,,13.549,13.449,13549.0,,R
2026-07-28,WIPRO,1,,,3.685,3.585,3685.0,,R
2026-08-03,PFC,1,,,-7.973,-8.073,-7973.0,,R
2026-08-03,EICHERMOT,1,,,0.219,0.119,219.0,,R
2026-08-03,RECLTD,1,,,-6.924,-7.024,-6924.0,,R
2026-08-04,COFORGE,1,,,3.56,3.46,3560.0,,R
2026-08-04,ICICIBANK,1,,,-0.766,-0.866,-766.0,,R
2026-08-10,MARUTI,1,,,-1.902,-2.002,-1902.0,,R
2026-08-13,NHPC,1,,,-2.226,-2.326,-2226.0,,R
2026-08-14,BEL,1,,,0.485,0.385,485.0,,R
2026-08-17,HINDPETRO,1,,,-0.234,-0.334,-234.0,,R
2026-08-17,HAL,1,,,-3.746,-3.846,-3746.0,,R
2026-08-17,FEDERALBNK,1,,,0.434,0.334,434.0,,R
2026-08-17,RECLTD,1,,,-3.891,-3.991,-3891.0,,R
