date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-08-17,NIFTY,False,,,0.028,0.028,28.0,,R
2026-08-17,NIFTY,False,,,0.026,0.026,26.0,,R
2026-08-17,NIFTY,False,,,0.006,0.006,6.0,,R
2026-08-17,NIFTY,False,,,0.017,0.017,17.0,,R
2026-08-17,NIFTY,False,,,-0.01,-0.01,-10.0,,R
2026-08-17,NIFTY,False,,,-0.004,-0.004,-4.0,,R
2026-08-17,NIFTY,False,,,0.011,0.011,11.0,,R
2026-08-17,NIFTY,False,,,-0.035,-0.035,-35.0,,R
2026-08-17,NIFTY,False,,,-0.02,-0.02,-20.0,,R
2026-08-25,NIFTY,True,,,-5.415,-5.415,-5415.0,,R
2026-08-25,NIFTY,True,,,0.122,0.122,122.0,,R
2026-08-25,NIFTY,True,,,1.282,1.282,1282.0,,R
2026-08-25,NIFTY,True,,,-0.79,-0.79,-790.0,,R
2026-08-25,NIFTY,True,,,0.47,0.47,470.0,,R
2026-08-26,BANKNIFTY,False,,,1.72,1.72,1720.0,,R
2026-08-26,BANKNIFTY,False,,,3.0,3.0,3000.0,,R
2026-08-26,BANKNIFTY,False,,,-1.092,-1.092,-1092.0,,R
2026-08-26,BANKNIFTY,False,,,0.984,0.984,984.0,,R
2026-08-26,NIFTY,False,,,-0.04,-0.04,-40.0,,R
2026-08-26,NIFTY,False,,,-0.043,-0.043,-43.0,,R
2026-08-26,NIFTY,False,,,-0.085,-0.085,-85.0,,R
2026-08-26,NIFTY,False,,,-0.102,-0.102,-102.0,,R
2026-08-26,NIFTY,False,,,-0.171,-0.171,-171.0,,R
2026-08-26,NIFTY,False,,,-0.165,-0.165,-165.0,,R
2026-08-26,NIFTY,False,,,-0.06,-0.06,-60.0,,R
2026-08-26,NIFTY,False,,,-0.354,-0.354,-354.0,,R
2026-08-26,NIFTY,False,,,0.712,0.712,712.0,,R
2026-08-26,NIFTY,False,,,-0.989,-0.989,-989.0,,R
2026-08-26,NIFTY,False,,,-2.093,-2.093,-2093.0,,R
2026-08-26,NIFTY,False,,,2.507,2.507,2507.0,,R
2026-08-26,NIFTY,False,,,4.017,4.017,4017.0,,R
2026-08-26,NIFTY,False,,,-2.113,-2.113,-2113.0,,R
2026-08-27,BANKNIFTY,False,,,0.001,0.001,1.0,,R
2026-08-27,BANKNIFTY,False,,,-0.002,-0.002,-2.0,,R
2026-08-27,BANKNIFTY,False,,,0.065,0.065,65.0,,R
2026-08-27,BANKNIFTY,False,,,-0.091,-0.091,-91.0,,R
2026-08-27,BANKNIFTY,False,,,-0.015,-0.015,-15.0,,R
2026-08-27,BANKNIFTY,False,,,0.059,0.059,59.0,,R
2026-08-27,BANKNIFTY,False,,,-0.099,-0.099,-99.0,,R
2026-08-27,BANKNIFTY,False,,,-0.011,-0.011,-11.0,,R
2026-08-27,BANKNIFTY,False,,,0.071,0.071,71.0,,R
2026-08-27,BANKNIFTY,False,,,-0.102,-0.102,-102.0,,R
2026-08-27,BANKNIFTY,False,,,0.239,0.239,239.0,,R
2026-08-27,BANKNIFTY,False,,,-0.08,-0.08,-80.0,,R
2026-08-27,BANKNIFTY,False,,,0.017,0.017,17.0,,R
2026-08-27,BANKNIFTY,False,,,-0.116,-0.116,-116.0,,R
2026-08-27,BANKNIFTY,False,,,-0.143,-0.143,-143.0,,R
2026-08-27,BANKNIFTY,False,,,0.224,0.224,224.0,,R
2026-08-27,BANKNIFTY,False,,,-0.274,-0.274,-274.0,,R
2026-08-27,BANKNIFTY,False,,,0.009,0.009,9.0,,R
2026-08-27,BANKNIFTY,False,,,0.04,0.04,40.0,,R
2026-08-27,BANKNIFTY,False,,,-0.25,-0.25,-250.0,,R
2026-08-27,BANKNIFTY,False,,,0.067,0.067,67.0,,R
2026-08-27,BANKNIFTY,False,,,-0.356,-0.356,-356.0,,R
2026-08-27,BANKNIFTY,False,,,0.16,0.16,160.0,,R
2026-08-27,BANKNIFTY,False,,,0.092,0.092,92.0,,R
2026-08-27,BANKNIFTY,False,,,0.084,0.084,84.0,,R
2026-08-27,BANKNIFTY,False,,,-0.417,-0.417,-417.0,,R
2026-08-27,BANKNIFTY,False,,,0.216,0.216,216.0,,R
2026-08-27,BANKNIFTY,False,,,-0.481,-0.481,-481.0,,R
2026-08-27,BANKNIFTY,False,,,-1.474,-1.474,-1474.0,,R
2026-08-28,NIFTY,False,,,-0.302,-0.302,-302.0,,R
