date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-07-20 10:24:00,BANKNIFTY,,,,-0.328,-0.328,-328.0,400.0,R
2026-07-22 09:53:00,BANKNIFTY,,,,-0.415,-0.415,-415.0,400.0,R
2026-07-22 09:59:00,BANKNIFTY,,,,-0.55,-0.55,-550.0,400.0,R
2026-07-22 10:53:00,BANKNIFTY,,,,-0.408,-0.408,-408.0,400.0,R
2026-07-22 11:10:00,BANKNIFTY,,,,-0.418,-0.418,-418.0,400.0,R
2026-07-22 12:35:00,BANKNIFTY,,,,-0.306,-0.306,-306.0,400.0,R
2026-07-22 13:52:00,BANKNIFTY,,,,-0.446,-0.446,-446.0,400.0,R
2026-07-23 09:18:00,BANKNIFTY,,,,-0.338,-0.338,-338.0,400.0,R
2026-07-23 09:23:00,BANKNIFTY,,,,-0.342,-0.342,-342.0,400.0,R
2026-07-23 09:30:00,BANKNIFTY,,,,-0.451,-0.451,-451.0,400.0,R
2026-07-23 09:37:00,BANKNIFTY,,,,-0.4,-0.4,-400.0,400.0,R
2026-07-23 11:15:00,BANKNIFTY,,,,-0.385,-0.385,-385.0,400.0,R
2026-07-23 11:24:00,BANKNIFTY,,,,-0.487,-0.487,-487.0,400.0,R
2026-07-23 12:22:00,BANKNIFTY,,,,-0.358,-0.358,-358.0,400.0,R
2026-07-23 12:27:00,BANKNIFTY,,,,-0.405,-0.405,-405.0,400.0,R
2026-07-23 12:31:00,BANKNIFTY,,,,-0.363,-0.363,-363.0,400.0,R
2026-07-23 12:46:00,BANKNIFTY,,,,-0.374,-0.374,-374.0,400.0,R
2026-07-23 13:01:00,BANKNIFTY,,,,-0.378,-0.378,-378.0,400.0,R
2026-07-23 13:30:00,BANKNIFTY,,,,-0.402,-0.402,-402.0,400.0,R
2026-07-23 14:11:00,BANKNIFTY,,,,-0.338,-0.338,-338.0,400.0,R
2026-07-23 14:33:00,BANKNIFTY,,,,-0.372,-0.372,-372.0,400.0,R
2026-07-24 09:17:00,BANKNIFTY,,,,-0.373,-0.373,-373.0,400.0,R
2026-07-24 09:19:00,BANKNIFTY,,,,-0.439,-0.439,-439.0,400.0,R
2026-07-24 09:24:00,BANKNIFTY,,,,-0.396,-0.396,-396.0,400.0,R
2026-07-24 09:36:00,BANKNIFTY,,,,-0.404,-0.404,-404.0,400.0,R
2026-07-24 09:44:00,BANKNIFTY,,,,-0.36,-0.36,-360.0,400.0,R
2026-07-24 09:50:00,BANKNIFTY,,,,-0.327,-0.327,-327.0,400.0,R
2026-07-24 09:53:00,BANKNIFTY,,,,-0.375,-0.375,-375.0,400.0,R
2026-07-24 09:59:00,BANKNIFTY,,,,-0.368,-0.368,-368.0,400.0,R
2026-07-24 10:02:00,BANKNIFTY,,,,-0.415,-0.415,-415.0,400.0,R
2026-07-24 10:13:00,BANKNIFTY,,,,-0.385,-0.385,-385.0,400.0,R
2026-07-24 10:33:00,BANKNIFTY,,,,-0.493,-0.493,-493.0,400.0,R
2026-07-24 11:01:00,BANKNIFTY,,,,-0.388,-0.388,-388.0,400.0,R
2026-07-24 11:45:00,BANKNIFTY,,,,-0.343,-0.343,-343.0,400.0,R
2026-07-24 11:57:00,BANKNIFTY,,,,-0.407,-0.407,-407.0,400.0,R
2026-07-24 12:25:00,BANKNIFTY,,,,-0.358,-0.358,-358.0,400.0,R
2026-07-24 12:30:00,BANKNIFTY,,,,-0.417,-0.417,-417.0,400.0,R
2026-07-24 14:05:00,BANKNIFTY,,,,-0.534,-0.534,-534.0,400.0,R
2026-07-24 15:26:00,BANKNIFTY,,,,-0.432,-0.432,-432.0,400.0,R
2026-07-27 09:18:00,BANKNIFTY,,,,-0.524,-0.524,-524.0,400.0,R
2026-07-27 09:22:00,BANKNIFTY,,,,-0.445,-0.445,-445.0,400.0,R
2026-07-27 14:54:00,BANKNIFTY,,,,-0.449,-0.449,-449.0,400.0,R
2026-07-28 09:51:00,BANKNIFTY,,,,-0.421,-0.421,-421.0,400.0,R
2026-07-28 12:58:00,BANKNIFTY,,,,-0.512,-0.512,-512.0,400.0,R
2026-07-28 15:04:00,BANKNIFTY,,,,-0.425,-0.425,-425.0,400.0,R
2026-07-29 09:15:00,BANKNIFTY,,,,-0.352,-0.352,-352.0,400.0,R
2026-08-18 10:24:00,BANKNIFTY,,,,-0.362,-0.362,-362.0,400.0,R
2026-08-24 12:50:00,BANKNIFTY,,,,-0.228,-0.228,-228.0,400.0,R
2026-08-25 14:46:00,BANKNIFTY,,,,-0.343,-0.343,-343.0,400.0,R
2026-08-25 14:54:00,BANKNIFTY,,,,-0.031,-0.031,-31.0,400.0,R
2026-08-13 13:32:00,BANKNIFTY,,,,-0.405,-0.405,-405.0,400.0,R
2026-08-24 13:42:00,BANKNIFTY,,,,0.07,0.07,70.0,400.0,R
2026-08-24 15:11:00,BANKNIFTY,,,,-0.349,-0.349,-349.0,400.0,R
2026-08-26 11:21:00,BANKNIFTY,,,,-0.413,-0.413,-413.0,400.0,R
2026-07-22 15:23:00,BANKNIFTY,,,,-0.323,-0.323,-323.0,400.0,R
2026-07-23 13:18:00,BANKNIFTY,,,,-0.383,-0.383,-383.0,400.0,R
2026-07-23 13:43:00,BANKNIFTY,,,,-0.347,-0.347,-347.0,400.0,R
