date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2025-07-31,ABB~APOLLOHOSP,,,,-9.469,-9.669,-9469.0,,R
2025-11-27,ABB~APOLLOHOSP,,,,-3.816,-4.016,-3816.0,,R
2025-07-16,ABB~BANKBARODA,,,,4.143,3.943,4143.0,,R
2025-08-04,ABB~BANKBARODA,,,,3.67,3.47,3670.0,,R
2025-10-08,ABB~BANKBARODA,,,,-12.683,-12.883,-12683.0,,R
2025-11-10,ABB~BANKBARODA,,,,4.221,4.021,4221.0,,R
2025-06-23,ABB~BEL,,,,4.308,4.108,4308.0,,R
2025-08-04,ABB~BEL,,,,1.879,1.679,1879.0,,R
2025-09-25,ABB~BEL,,,,-1.844,-2.044,-1844.0,,R
2025-10-31,ABB~BEL,,,,1.6,1.4,1600.0,,R
2025-11-07,ABB~BEL,,,,0.407,0.207,407.0,,R
2025-07-01,ABB~BHEL,,,,0.098,-0.102,98.0,,R
2025-08-04,ABB~BHEL,,,,6.695,6.495,6695.0,,R
2025-10-03,ABB~BHEL,,,,2.591,2.391,2591.0,,R
2025-10-30,ABB~BHEL,,,,-12.389,-12.589,-12389.0,,R
2025-07-04,ABB~BPCL,,,,1.362,1.162,1362.0,,R
2025-09-29,ABB~BPCL,,,,0.415,0.215,415.0,,R
2025-11-03,ABB~BPCL,,,,-0.969,-1.169,-969.0,,R
2025-07-01,ABB~CANBK,,,,1.258,1.058,1258.0,,R
2025-07-14,ABB~CANBK,,,,4.893,4.693,4893.0,,R
2025-08-04,ABB~CANBK,,,,-0.977,-1.177,-977.0,,R
2025-09-23,ABB~CANBK,,,,-6.159,-6.359,-6159.0,,R
2025-11-07,ABB~CANBK,,,,-2.747,-2.947,-2747.0,,R
2025-10-13,ABB~CDSL,,,,3.277,3.077,3277.0,,R
2025-11-11,ABB~CDSL,,,,2.232,2.032,2232.0,,R
2025-07-31,ABB~DIXON,,,,-11.725,-11.925,-11725.0,,R
2025-10-23,ABB~DIXON,,,,0.453,0.253,453.0,,R
2025-12-04,ABB~DIXON,,,,-6.246,-6.446,-6246.0,,R
2025-08-04,ABB~GAIL,,,,-0.068,-0.268,-68.0,,R
2025-11-07,ABB~GAIL,,,,2.899,2.699,2899.0,,R
2025-08-04,ABB~HAL,,,,2.386,2.186,2386.0,,R
2025-10-03,ABB~HAL,,,,0.668,0.468,668.0,,R
2025-11-10,ABB~HAL,,,,2.901,2.701,2901.0,,R
2025-12-08,ABB~HAL,,,,-2.083,-2.283,-2083.0,,R
2025-06-03,ABB~HAVELLS,,,,3.56,3.36,3560.0,,R
2025-08-04,ABB~HAVELLS,,,,-2.067,-2.267,-2067.0,,R
2025-11-27,ABB~HAVELLS,,,,-1.98,-2.18,-1980.0,,R
2025-07-07,ABB~HINDPETRO,,,,3.673,3.473,3673.0,,R
2025-09-24,ABB~HINDPETRO,,,,-4.465,-4.665,-4465.0,,R
2025-11-07,ABB~HINDPETRO,,,,3.163,2.963,3163.0,,R
2025-08-01,ABB~ITC,,,,-2.275,-2.475,-2275.0,,R
2025-11-12,ABB~ITC,,,,3.64,3.44,3640.0,,R
2025-07-11,ABB~JSWENERGY,,,,-12.329,-12.529,-12329.0,,R
2025-08-11,ABB~JSWENERGY,,,,5.63,5.43,5630.0,,R
2025-11-21,ABB~JSWENERGY,,,,-8.351,-8.551,-8351.0,,R
2025-07-16,ABB~LT,,,,2.216,2.016,2216.0,,R
2025-07-30,ABB~LT,,,,-9.073,-9.273,-9073.0,,R
2025-10-28,ABB~LT,,,,-1.817,-2.017,-1817.0,,R
2025-06-09,ABB~MCX,,,,-16.395,-16.595,-16395.0,,R
2025-10-09,ABB~MCX,,,,-12.238,-12.438,-12238.0,,R
2025-07-18,ABB~NMDC,,,,-9.566,-9.766,-9566.0,,R
2025-11-12,ABB~NMDC,,,,4.353,4.153,4353.0,,R
2025-05-30,ABB~PFC,,,,3.225,3.025,3225.0,,R
2025-08-04,ABB~PFC,,,,3.663,3.463,3663.0,,R
2025-11-06,ABB~PFC,,,,2.546,2.346,2546.0,,R
2025-11-18,ABB~PFC,,,,-11.223,-11.423,-11223.0,,R
2025-07-01,ABB~POLYCAB,,,,-10.79,-10.99,-10790.0,,R
2025-08-04,ABB~POLYCAB,,,,-2.954,-3.154,-2954.0,,R
2025-11-10,ABB~POLYCAB,,,,1.605,1.405,1605.0,,R
2025-08-04,ABB~POWERGRID,,,,2.63,2.43,2630.0,,R
2025-11-04,ABB~POWERGRID,,,,2.914,2.714,2914.0,,R
2025-11-27,ABB~POWERGRID,,,,-3.149,-3.349,-3149.0,,R
2025-05-20,ABB~RECLTD,,,,-4.24,-4.44,-4240.0,,R
2025-08-04,ABB~RECLTD,,,,4.497,4.297,4497.0,,R
2025-11-25,ABB~RECLTD,,,,-4.879,-5.079,-4879.0,,R
2025-07-16,ABB~SBIN,,,,6.261,6.061,6261.0,,R
2025-08-01,ABB~SBIN,,,,-6.057,-6.257,-6057.0,,R
2025-10-28,ABB~SBIN,,,,-5.822,-6.022,-5822.0,,R
2025-07-03,ABB~TATACHEM,,,,-10.443,-10.643,-10443.0,,R
2025-08-01,ABB~TATACHEM,,,,-2.357,-2.557,-2357.0,,R
2025-06-03,ABB~TATAPOWER,,,,3.619,3.419,3619.0,,R
2025-07-15,ABB~TATAPOWER,,,,4.618,4.418,4618.0,,R
2025-08-04,ABB~TATAPOWER,,,,2.272,2.072,2272.0,,R
2025-10-30,ABB~TATAPOWER,,,,3.192,2.992,3192.0,,R
2025-11-07,ABB~TATAPOWER,,,,3.933,3.733,3933.0,,R
2025-06-03,ABB~TCS,,,,3.326,3.126,3326.0,,R
2025-08-08,ABB~TCS,,,,1.207,1.007,1207.0,,R
2025-11-12,ABB~TCS,,,,4.587,4.387,4587.0,,R
2025-12-05,ABB~TCS,,,,2.015,1.815,2015.0,,R
2025-07-28,ABB~TORNTPHARM,,,,-9.062,-9.262,-9062.0,,R
2025-11-10,ABB~TORNTPHARM,,,,5.645,5.445,5645.0,,R
2025-07-29,ABB~VBL,,,,-8.271,-8.471,-8271.0,,R
2025-07-11,ABB~VOLTAS,,,,2.342,2.142,2342.0,,R
2025-08-04,ABB~VOLTAS,,,,6.404,6.204,6404.0,,R
2025-08-18,ABB~VOLTAS,,,,0.391,0.191,391.0,,R
2025-11-06,ABB~VOLTAS,,,,5.77,5.57,5770.0,,R
2025-08-01,ADANIENT~ADANIPORTS,,,,1.16,0.96,1160.0,,R
2025-11-06,ADANIENT~ADANIPORTS,,,,-9.082,-9.282,-9082.0,,R
2025-07-21,ADANIENT~AMBUJACEM,,,,-6.349,-6.549,-6349.0,,R
2025-07-30,ADANIENT~JSWENERGY,,,,-5.471,-5.671,-5471.0,,R
2025-11-21,ADANIENT~JSWENERGY,,,,5.323,5.123,5323.0,,R
2025-08-05,ADANIENT~NHPC,,,,5.39,5.19,5390.0,,R
2025-11-14,ADANIENT~NHPC,,,,4.515,4.315,4515.0,,R
2025-09-02,ADANIENT~TATATECH,,,,1.972,1.772,1972.0,,R
2025-09-10,ADANIENT~TATATECH,,,,3.063,2.863,3063.0,,R
2025-09-22,ADANIENT~TATATECH,,,,3.21,3.01,3210.0,,R
2025-10-20,ADANIENT~TATATECH,,,,2.041,1.841,2041.0,,R
2025-11-27,ADANIENT~TATATECH,,,,3.999,3.799,3999.0,,R
2025-07-22,ADANIPORTS~AMBUJACEM,,,,0.636,0.436,636.0,,R
2025-10-17,ADANIPORTS~AMBUJACEM,,,,2.811,2.611,2811.0,,R
2025-11-12,ADANIPORTS~AMBUJACEM,,,,-5.349,-5.549,-5349.0,,R
2025-07-31,ADANIPORTS~VBL,,,,2.81,2.61,2810.0,,R
2025-05-27,AMBUJACEM~CANBK,,,,-3.087,-3.287,-3087.0,,R
2025-07-22,AMBUJACEM~CANBK,,,,5.373,5.173,5373.0,,R
2025-07-30,AMBUJACEM~CANBK,,,,4.917,4.717,4917.0,,R
2025-09-23,AMBUJACEM~CANBK,,,,-7.415,-7.615,-7415.0,,R
2025-10-13,AMBUJACEM~CDSL,,,,4.638,4.438,4638.0,,R
2025-07-24,AMBUJACEM~JSWENERGY,,,,2.508,2.308,2508.0,,R
2025-09-11,AMBUJACEM~JSWENERGY,,,,2.233,2.033,2233.0,,R
2025-10-07,AMBUJACEM~JSWENERGY,,,,3.685,3.485,3685.0,,R
2025-10-28,AMBUJACEM~JSWENERGY,,,,3.062,2.862,3062.0,,R
2025-11-21,AMBUJACEM~JSWENERGY,,,,-2.829,-3.029,-2829.0,,R
2025-07-21,AMBUJACEM~NHPC,,,,-0.191,-0.391,-191.0,,R
2025-05-22,AMBUJACEM~PFC,,,,3.009,2.809,3009.0,,R
2025-07-02,AMBUJACEM~PFC,,,,4.385,4.185,4385.0,,R
2025-07-21,AMBUJACEM~PFC,,,,2.53,2.33,2530.0,,R
2025-11-07,AMBUJACEM~PFC,,,,-2.091,-2.291,-2091.0,,R
2025-08-13,AMBUJACEM~POLYCAB,,,,-7.868,-8.068,-7868.0,,R
2025-07-01,AMBUJACEM~RECLTD,,,,-5.173,-5.373,-5173.0,,R
2025-10-29,AMBUJACEM~RECLTD,,,,2.298,2.098,2298.0,,R
2025-11-28,AMBUJACEM~VBL,,,,-1.278,-1.478,-1278.0,,R
