date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-07-13 09:30:00,NIFTY,inverse,,,-1.1243,-1.2486,-1124.3,248.57,R
2026-07-14 09:45:00,NIFTY,inverse,,,0.0055,-0.1159,5.5,242.68,R
2026-07-14 11:45:00,NIFTY,inverse,,,0.4834,0.3506,483.4,265.63,R
2026-07-10 09:30:00,BANKNIFTY,direct,,,0.4655,0.3731,465.5,184.67,R
2026-07-13 09:30:00,BANKNIFTY,direct,,,0.7665,0.6569,766.5,219.16,R
2026-07-14 09:30:00,BANKNIFTY,direct,,,-1.108,-1.2158,-1108.0,215.73,R
2026-07-15 09:30:00,BANKNIFTY,direct,,,-1.1059,-1.2119,-1105.9,211.87,R
2026-07-10 09:30:00,BANKNIFTY,direct,,,0.4623,0.3706,462.3,183.4,R
2026-07-13 09:30:00,BANKNIFTY,direct,,,0.7614,0.6525,761.4,217.7,R
2026-07-14 09:30:00,BANKNIFTY,direct,,,-1.1072,-1.2143,-1107.2,214.34,R
2026-07-15 09:30:00,BANKNIFTY,direct,,,-1.1052,-1.2105,-1105.2,210.47,R
