date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2021-01-04,ad_balance,short-after-euphoria,,,-0.0065,-0.0085,,,ret
2021-01-15,ad_balance,long-after-washout,,,-0.0218,-0.0238,,,ret
2021-01-18,ad_balance,long-after-washout,,,0.0251,0.0231,,,ret
2021-01-19,ad_balance,short-after-euphoria,,,-0.0066,-0.0086,,,ret
2021-01-22,ad_balance,long-after-washout,,,-0.0096,-0.0116,,,ret
2021-02-01,ad_balance,short-after-euphoria,,,-0.0206,-0.0226,,,ret
2021-02-02,ad_balance,short-after-euphoria,,,-0.0123,-0.0143,,,ret
2021-02-04,ad_balance,short-after-euphoria,,,0.0038,0.0018,,,ret
2021-02-22,ad_balance,long-after-washout,,,0.0147,0.0127,,,ret
2021-02-25,ad_balance,short-after-euphoria,,,0.0228,0.0208,,,ret
2021-02-26,ad_balance,long-after-washout,,,0.0172,0.0152,,,ret
2021-03-01,ad_balance,short-after-euphoria,,,-0.0159,-0.0179,,,ret
2021-03-02,ad_balance,short-after-euphoria,,,-0.0131,-0.0151,,,ret
2021-03-05,ad_balance,long-after-washout,,,0.0039,0.0019,,,ret
2021-03-17,ad_balance,long-after-washout,,,-0.009,-0.011,,,ret
2021-03-24,ad_balance,long-after-washout,,,-0.0206,-0.0226,,,ret
2021-03-25,ad_balance,long-after-washout,,,0.015,0.013,,,ret
2021-03-26,ad_balance,short-after-euphoria,,,-0.0141,-0.0161,,,ret
2021-04-01,ad_balance,short-after-euphoria,,,0.0128,0.0108,,,ret
2021-04-12,ad_balance,long-after-washout,,,0.0116,0.0096,,,ret
2021-04-19,ad_balance,long-after-washout,,,0.0043,0.0023,,,ret
2021-04-27,ad_balance,short-after-euphoria,,,-0.0099,-0.0119,,,ret
2021-06-10,ad_balance,short-after-euphoria,,,-0.0029,-0.0049,,,ret
2021-06-16,ad_balance,long-after-washout,,,-0.008,-0.01,,,ret
2021-07-20,ad_balance,long-after-washout,,,0.0159,0.0139,,,ret
2021-07-22,ad_balance,short-after-euphoria,,,0.0037,0.0017,,,ret
2021-08-20,ad_balance,long-after-washout,,,-0.0082,-0.0102,,,ret
2021-08-30,ad_balance,short-after-euphoria,,,-0.0085,-0.0105,,,ret
2021-09-20,ad_balance,long-after-washout,,,0.0091,0.0071,,,ret
2021-09-23,ad_balance,short-after-euphoria,,,0.0049,0.0029,,,ret
2021-10-04,ad_balance,short-after-euphoria,,,-0.0037,-0.0057,,,ret
2021-10-06,ad_balance,long-after-washout,,,0.0171,0.0151,,,ret
2021-10-07,ad_balance,short-after-euphoria,,,-0.0048,-0.0068,,,ret
2021-10-19,ad_balance,long-after-washout,,,-0.0125,-0.0145,,,ret
2021-10-25,ad_balance,long-after-washout,,,0.0177,0.0157,,,ret
2021-10-26,ad_balance,short-after-euphoria,,,0.0021,0.0001,,,ret
2021-10-28,ad_balance,long-after-washout,,,0.0004,-0.0016,,,ret
2021-11-01,ad_balance,short-after-euphoria,,,-0.0066,-0.0086,,,ret
2021-11-04,ad_balance,short-after-euphoria,,,-0.0132,-0.0152,,,ret
2021-11-18,ad_balance,long-after-washout,,,-0.0247,-0.0267,,,ret
2021-11-22,ad_balance,long-after-washout,,,0.0156,0.0136,,,ret
2021-11-23,ad_balance,short-after-euphoria,,,0.0034,0.0014,,,ret
2021-11-26,ad_balance,long-after-washout,,,-0.0106,-0.0126,,,ret
2021-12-02,ad_balance,short-after-euphoria,,,0.0022,0.0002,,,ret
2021-12-06,ad_balance,long-after-washout,,,0.0141,0.0121,,,ret
2021-12-07,ad_balance,short-after-euphoria,,,-0.0144,-0.0164,,,ret
2021-12-08,ad_balance,short-after-euphoria,,,-0.0048,-0.0068,,,ret
2021-12-17,ad_balance,long-after-washout,,,-0.0335,-0.0355,,,ret
2021-12-20,ad_balance,long-after-washout,,,0.0155,0.0135,,,ret
2021-12-21,ad_balance,short-after-euphoria,,,-0.0161,-0.0181,,,ret
2021-12-22,ad_balance,short-after-euphoria,,,-0.0092,-0.0112,,,ret
2021-12-24,ad_balance,long-after-washout,,,0.0045,0.0025,,,ret
2021-12-28,ad_balance,short-after-euphoria,,,-0.0001,-0.0021,,,ret
2021-12-31,ad_balance,short-after-euphoria,,,-0.0109,-0.0129,,,ret
2022-01-18,ad_balance,long-after-washout,,,-0.0007,-0.0027,,,ret
2022-01-21,ad_balance,long-after-washout,,,-0.0395,-0.0415,,,ret
2022-01-24,ad_balance,long-after-washout,,,0.0127,0.0107,,,ret
2022-01-31,ad_balance,short-after-euphoria,,,-0.0125,-0.0145,,,ret
2022-02-09,ad_balance,short-after-euphoria,,,-0.0025,-0.0045,,,ret
2022-02-11,ad_balance,long-after-washout,,,-0.0375,-0.0395,,,ret
2022-02-14,ad_balance,long-after-washout,,,0.0269,0.0249,,,ret
2022-02-15,ad_balance,short-after-euphoria,,,-0.0006,-0.0026,,,ret
2022-02-24,ad_balance,long-after-washout,,,0.0402,0.0382,,,ret
2022-02-25,ad_balance,short-after-euphoria,,,-0.0093,-0.0113,,,ret
2022-03-04,ad_balance,long-after-washout,,,-0.0217,-0.0237,,,ret
2022-03-07,ad_balance,long-after-washout,,,0.012,0.01,,,ret
2022-03-09,ad_balance,short-after-euphoria,,,-0.0128,-0.0148,,,ret
2022-03-10,ad_balance,short-after-euphoria,,,-0.006,-0.008,,,ret
2022-03-16,ad_balance,short-after-euphoria,,,-0.0158,-0.0178,,,ret
2022-03-17,ad_balance,short-after-euphoria,,,0.0092,0.0072,,,ret
2022-04-01,ad_balance,short-after-euphoria,,,-0.0157,-0.0177,,,ret
2022-04-04,ad_balance,short-after-euphoria,,,-0.0082,-0.0102,,,ret
2022-04-12,ad_balance,long-after-washout,,,-0.0005,-0.0025,,,ret
2022-04-19,ad_balance,long-after-washout,,,0.0146,0.0126,,,ret
2022-04-20,ad_balance,short-after-euphoria,,,-0.013,-0.015,,,ret
