date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-03-23,vwap,,,,0.059,0.0422,59.0,,R
2026-03-23,vwap,,,,0.1163,0.1017,116.3,,R
2026-03-23,ema,,,,0.1239,0.1084,123.95,,R
2026-03-23,ema,,,,0.2927,0.2832,292.7,,R
2026-03-23,ema,,,,0.05,0.044,50.0,,R
2026-03-24,vwap,,,,0.5855,0.5724,585.45,,R
2026-03-24,vwap,,,,0.6679,0.6531,667.95,,R
2026-03-24,vwap,,,,0.5977,0.5844,597.7,,R
2026-03-25,ema,,,,0.0089,-0.0042,8.85,,R
2026-03-25,vwap,,,,0.2989,0.2922,298.95,,R
2026-03-25,ema,,,,0.0103,-0.0048,10.25,,R
2026-03-27,ema,,,,-1.0151,-1.0302,-1015.05,,R
2026-03-27,ema,,,,-1.0163,-1.0325,-1016.25,,R
2026-03-27,ema,,,,-1.0138,-1.0277,-1013.85,,R
2026-03-30,vwap,,,,0.1458,0.1323,145.85,,R
2026-03-30,vwap,,,,0.0862,0.0782,86.2,,R
2026-04-01,ema,,,,0.2753,0.2666,275.35,,R
2026-04-01,ema,,,,0.4925,0.4823,492.55,,R
2026-04-01,ema,,,,0.3166,0.31,316.6,,R
2026-04-01,vwap,,,,0.6846,0.6704,684.65,,R
2026-04-01,ema,,,,0.3147,0.3047,314.7,,R
2026-04-01,ema,,,,0.7302,0.715,730.2,,R
2026-04-01,vwap,,,,-1.0131,-1.0261,-1013.05,,R
2026-04-01,ema,,,,0.4236,0.4101,423.6,,R
2026-04-01,vwap,,,,-1.0133,-1.0267,-1013.35,,R
2026-04-01,vwap,,,,0.0613,0.0495,61.3,,R
2026-04-01,vwap,,,,0.0836,0.0675,83.6,,R
2026-04-02,ema,,,,1.1482,1.1336,1148.25,,R
2026-04-02,ema,,,,1.4185,1.4003,1418.55,,R
2026-04-02,ema,,,,1.1553,1.1404,1155.25,,R
2026-04-02,ema,,,,1.0762,1.0623,1076.15,,R
2026-04-02,ema,,,,1.0699,1.0562,1069.85,,R
2026-04-02,ema,,,,0.4091,0.3981,409.1,,R
2026-04-02,ema,,,,0.9789,0.9665,978.95,,R
2026-04-06,vwap,,,,1.5697,1.5441,1569.75,,R
2026-04-06,vwap,,,,1.5689,1.5432,1568.85,,R
2026-04-06,vwap,,,,1.5767,1.5509,1576.65,,R
2026-04-07,vwap,,,,0.1993,0.1922,199.25,,R
2026-04-07,vwap,,,,1.1059,1.0913,1105.95,,R
2026-04-07,vwap,,,,0.2014,0.1943,201.45,,R
2026-04-07,vwap,,,,1.6175,1.6051,1617.5,,R
2026-04-07,vwap,,,,1.4175,1.4066,1417.45,,R
2026-04-07,vwap,,,,1.4474,1.4363,1447.4,,R
2026-04-07,vwap,,,,0.3407,0.3286,340.7,,R
2026-05-20,sma,,,,0.4215,0.411,421.5,,R
2026-05-21,sma,,,,0.0758,0.0644,75.8,,R
2026-05-21,sma,,,,0.2894,0.2738,289.45,,R
2026-05-21,sma,,,,-1.021,-1.0419,-1020.95,,R
2026-05-21,sma,,,,0.0441,0.0304,44.1,,R
2026-05-21,sma,,,,0.0451,0.0311,45.1,,R
2026-05-21,sma,,,,-1.0187,-1.0373,-1018.7,,R
2026-06-01,obv,,,,0.0597,0.0463,59.7,,R
2026-06-01,obv,,,,0.5054,0.4928,505.45,,R
2026-06-01,obv,,,,0.4304,0.4197,430.45,,R
2026-06-01,obv,,,,0.0725,0.0562,72.45,,R
2026-06-01,obv,,,,0.0532,0.0413,53.25,,R
2026-06-01,obv,,,,0.5126,0.4998,512.6,,R
2026-06-03,vwap,,,,-1.0338,-1.0677,-1033.8,,R
2026-06-03,sma,,,,1.1388,1.1207,1138.85,,R
2026-06-03,vwap,,,,0.2272,0.2097,227.2,,R
2026-06-03,vwap,,,,-1.0339,-1.0678,-1033.9,,R
2026-06-03,vwap,,,,-1.0341,-1.0682,-1034.15,,R
2026-06-11,vwap,,,,0.0077,-0.0086,7.7,,R
2026-07-08,obv,,,,-1.0157,-1.0315,-1015.75,,R
2026-07-08,obv,,,,-1.0178,-1.0354,-1017.75,,R
2026-07-23,vwap,,,,0.0632,0.0524,63.2,,R
2026-07-23,vwap,,,,0.5872,0.5706,587.15,,R
2026-07-23,vwap,,,,0.4733,0.46,473.35,,R
2026-07-23,vwap,,,,0.2552,0.2352,255.2,,R
2026-08-11,vwap,,,,-1.0127,-1.0253,-1012.7,,R
2026-08-13,dist_from_ma,,,,0.5268,0.5096,526.8,,R
2026-08-14,vwap,,,,-1.0127,-1.0255,-1012.7,,R
