date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,adx,,,,-1.0251,-1.0251,-1025.05,,R
2026-01-12,vwap,,,,-0.9906,-0.9906,-990.6,,R
2026-01-12,rsi,,,,0.6812,0.6812,681.15,,R
2026-01-12,ema,,,,-0.9877,-0.9877,-987.66,,R
2026-01-12,vwap,,,,-0.963,-0.963,-963.05,,R
2026-01-12,ema,,,,-0.9351,-0.9351,-935.13,,R
2026-01-12,vwap,,,,-0.9117,-0.9117,-911.71,,R
2026-01-12,stddev_returns,,,,-0.884,-0.884,-883.99,,R
2026-01-13,atr,,,,-0.866,-0.866,-866.04,,R
2026-01-13,atr,,,,-0.8438,-0.8438,-843.76,,R
2026-01-13,atr,,,,-0.8234,-0.8234,-823.39,,R
2026-01-14,pct_from_hilo,,,,0.0624,0.0624,62.39,,R
2026-01-14,pct_from_hilo,,,,0.0394,0.0394,39.43,,R
2026-01-14,pct_from_hilo,,,,0.0566,0.0566,56.56,,R
2026-01-16,sma,,,,0.3743,0.3743,374.25,,R
2026-01-16,sma,,,,0.4166,0.4166,416.62,,R
2026-01-20,cci,,,,-0.8174,-0.8174,-817.37,,R
2026-01-20,cci,,,,-0.8073,-0.8073,-807.25,,R
2026-01-20,stddev_returns,,,,0.3241,0.3241,324.14,,R
2026-01-21,dist_from_ma,,,,0.2353,0.2353,235.31,,R
2026-01-21,vwap,,,,-0.0085,-0.0085,-8.46,,R
2026-01-21,vwap,,,,-0.0105,-0.0105,-10.49,,R
2026-01-21,dist_from_ma,,,,0.409,0.409,408.99,,R
2026-01-21,dist_from_ma,,,,0.4597,0.4597,459.69,,R
2026-01-22,pct_from_hilo,,,,0.304,0.304,304.02,,R
2026-01-22,vwap,,,,-0.0006,-0.0006,-0.65,,R
2026-01-22,rsi,,,,0.3398,0.3398,339.78,,R
2026-01-22,pct_from_hilo,,,,0.3433,0.3433,343.3,,R
2026-01-22,vwap,,,,-0.0005,-0.0005,-0.54,,R
2026-01-22,pct_from_hilo,,,,0.1753,0.1753,175.31,,R
