date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-01-12,adx,,,,-1.0251,-1.0251,-1025.05,,R
2026-01-12,vwap,,,,-1.0167,-1.0167,-1016.65,,R
2026-01-12,rsi,,,,0.7173,0.7173,717.3,,R
2026-01-12,ema,,,,-1.0217,-1.0217,-1021.75,,R
2026-01-12,vwap,,,,-1.0224,-1.0224,-1022.4,,R
2026-01-12,ema,,,,-1.0188,-1.0188,-1018.8,,R
2026-01-12,vwap,,,,-1.0192,-1.0192,-1019.25,,R
2026-01-12,stddev_returns,,,,-1.0141,-1.0141,-1014.1,,R
2026-01-13,atr,,,,-1.0193,-1.0193,-1019.35,,R
2026-01-13,atr,,,,-1.0191,-1.0191,-1019.1,,R
2026-01-13,atr,,,,-1.0205,-1.0205,-1020.5,,R
2026-01-14,pct_from_hilo,,,,0.0794,0.0794,79.35,,R
2026-01-14,pct_from_hilo,,,,0.05,0.05,50.05,,R
2026-01-14,pct_from_hilo,,,,0.0717,0.0717,71.7,,R
2026-01-16,sma,,,,0.4736,0.4736,473.6,,R
2026-01-16,sma,,,,0.5211,0.5211,521.05,,R
2026-01-20,cci,,,,-1.0091,-1.0091,-1009.1,,R
2026-01-20,cci,,,,-1.0224,-1.0224,-1022.4,,R
2026-01-20,stddev_returns,,,,0.4213,0.4213,421.3,,R
2026-01-21,dist_from_ma,,,,0.3026,0.3026,302.65,,R
2026-01-21,vwap,,,,-0.0108,-0.0108,-10.8,,R
2026-01-21,vwap,,,,-0.0134,-0.0134,-13.4,,R
2026-01-21,dist_from_ma,,,,0.5224,0.5224,522.4,,R
2026-01-21,dist_from_ma,,,,0.5796,0.5796,579.6,,R
2026-01-22,pct_from_hilo,,,,0.3779,0.3779,377.85,,R
2026-01-22,vwap,,,,-0.001,-0.001,-1.0,,R
2026-01-22,rsi,,,,0.4183,0.4183,418.35,,R
2026-01-22,pct_from_hilo,,,,0.4183,0.4183,418.3,,R
2026-01-22,vwap,,,,-0.0008,-0.0008,-0.85,,R
2026-01-22,pct_from_hilo,,,,0.1494,0.1494,149.44,,R
2026-01-22,vwap,,,,-0.0009,-0.0009,-0.95,,R
2026-01-27,stddev_returns,,,,0.8819,0.8819,881.9,,R
