date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2025-11-27,BANKNIFTY,,,,-8.138,-8.538,-8138.0,,R
2025-12-09,FINNIFTY,,,,-2.317,-2.517,-2317.0,,R
2026-01-22,FINNIFTY,,,,-4.431,-4.631,-4431.0,,R
2026-03-10,FINNIFTY,,,,-2.722,-2.922,-2722.0,,R
2025-11-27,MIDCPNIFTY,,,,-8.446,-8.846,-8446.0,,R
2026-03-10,MIDCPNIFTY,,,,-2.246,-2.446,-2246.0,,R
2026-03-25,MIDCPNIFTY,,,,-2.344,-2.544,-2344.0,,R
2026-04-08,MIDCPNIFTY,,,,4.598,4.298,4598.0,,R
2026-06-12,MIDCPNIFTY,,,,4.846,4.546,4846.0,,R
2025-11-27,NIFTY,,,,-7.043,-7.443,-7043.0,,R
2025-11-27,NIFTY100,,,,-6.531,-6.931,-6531.0,,R
2025-11-27,NIFTY200,,,,-6.694,-7.094,-6694.0,,R
2026-07-20,NIFTY200,,,,-0.211,-0.411,-211.0,,R
2026-07-29,NIFTY200,,,,0.353,0.153,353.0,,R
2026-08-26,NIFTY200,,,,-0.6,-0.8,-600.0,,R
2025-11-27,NIFTYIT,,,,3.075,2.875,3075.0,,R
2025-12-22,NIFTYIT,,,,-3.61,-3.81,-3610.0,,R
2026-01-13,NIFTYIT,,,,0.038,-0.162,38.0,,R
2026-01-23,NIFTYIT,,,,-0.068,-0.268,-68.0,,R
2026-02-03,NIFTYIT,,,,-6.081,-6.281,-6081.0,,R
2026-03-25,NIFTYIT,,,,-0.846,-1.046,-846.0,,R
2026-03-30,NIFTYIT,,,,4.516,4.316,4516.0,,R
2026-05-11,NIFTYIT,,,,-3.804,-4.004,-3804.0,,R
2026-05-19,NIFTYIT,,,,-0.644,-0.844,-644.0,,R
2026-05-26,NIFTYIT,,,,-1.522,-1.722,-1522.0,,R
2026-07-07,NIFTYIT,,,,10.061,9.861,10061.0,,R
2025-11-27,NIFTY_AUTO,,,,-2.613,-2.813,-2613.0,,R
2026-02-02,NIFTY_AUTO,,,,2.709,2.509,2709.0,,R
2026-06-09,NIFTY_AUTO,,,,-0.996,-1.196,-996.0,,R
2026-06-12,NIFTY_AUTO,,,,9.463,9.163,9463.0,,R
2026-01-29,NIFTY_ENERGY,,,,-3.715,-3.915,-3715.0,,R
2026-02-03,NIFTY_ENERGY,,,,-0.265,-0.465,-265.0,,R
2026-03-18,NIFTY_ENERGY,,,,-3.915,-4.115,-3915.0,,R
2026-03-24,NIFTY_ENERGY,,,,0.11,-0.09,110.0,,R
2026-04-01,NIFTY_ENERGY,,,,-0.608,-0.808,-608.0,,R
2026-04-06,NIFTY_ENERGY,,,,6.908,6.408,6908.0,,R
2025-11-27,NIFTY_FMCG,,,,-1.279,-1.479,-1279.0,,R
2025-12-04,NIFTY_FMCG,,,,-1.349,-1.549,-1349.0,,R
2025-12-11,NIFTY_FMCG,,,,-0.5,-0.7,-500.0,,R
2026-05-04,NIFTY_FMCG,,,,-3.373,-3.573,-3373.0,,R
2026-06-17,NIFTY_FMCG,,,,-0.12,-0.32,-120.0,,R
